F,L,avg_time,std_time,min_time,max_time,avg_ofv,std_ofv,seed1_time,seed2_time,seed3_time,seed1_ofv,seed2_ofv,seed3_ofv
6,6,40.93446916700003,0.0,40.93446916700003,40.93446916700003,9314487.985907482,0.0,40.93446916700003,,,9314487.985907482,,
6,12,56.39923312500002,0.0,56.39923312500002,56.39923312500002,9270252.205291824,0.0,56.39923312500002,,,9270252.205291824,,
6,24,89.42871683299995,0.0,89.42871683299995,89.42871683299995,9327416.567664776,0.0,89.42871683299995,,,9327416.567664776,,
12,6,33.536242042000026,0.0,33.536242042000026,33.536242042000026,9331948.898788,0.0,33.536242042000026,,,9331948.898788,,
12,12,41.952631875000066,0.0,41.952631875000066,41.952631875000066,9294345.221969377,0.0,41.952631875000066,,,9294345.221969377,,
12,24,57.68225849999999,0.0,57.68225849999999,57.68225849999999,9327690.261445664,0.0,57.68225849999999,,,9327690.261445664,,
24,6,34.259088458000065,0.0,34.259088458000065,34.259088458000065,9279317.577399718,0.0,34.259088458000065,,,9279317.577399718,,
24,12,36.050563874999966,0.0,36.050563874999966,36.050563874999966,9301452.641109927,0.0,36.050563874999966,,,9301452.641109927,,
24,24,36.38409124999998,0.0,36.38409124999998,36.38409124999998,9307529.105607942,0.0,36.38409124999998,,,9307529.105607942,,
48,6,48.42164095800001,0.0,48.42164095800001,48.42164095800001,9302000.704781134,0.0,48.42164095800001,,,9302000.704781134,,
48,12,44.02433316700001,0.0,44.02433316700001,44.02433316700001,9302345.311455173,0.0,44.02433316700001,,,9302345.311455173,,
48,24,44.56296750000001,0.0,44.56296750000001,44.56296750000001,9264854.474008044,0.0,44.56296750000001,,,9264854.474008044,,
