name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
PP_ng9_3,ngcc,31267,226.6666667,11.70664028,86.13333333,3.17,754.6522641,15866.66667,226.6666667,6,6
PP_ng10_2,ngcc,31267,226.6666667,11.41271849,86.13333333,3.17,735.7050052,15866.66667,226.6666667,6,6
PP_ng10_3,ngcc,31267,226.6666667,11.41271849,86.13333333,3.17,735.7050052,15866.66667,226.6666667,6,6
PP_ng11_2,ngct,31267,850,6.93533071,323,3.17,434.6995936,59500,850,1,1
n_10013_solar,solar,10013,10000,0,0,0,0,0,0,0,0
n_1069_solar,solar,1069,10000,0,0,0,0,0,0,0,0
n_15847_solar,solar,15847,10000,0,0,0,0,0,0,0,0
n_18262_solar,solar,18262,10000,0,0,0,0,0,0,0,0
n_18310_solar,solar,18310,10000,0,0,0,0,0,0,0,0
n_23766_solar,solar,23766,10000,0,0,0,0,0,0,0,0
n_23805_solar,solar,23805,10000,0,0,0,0,0,0,0,0
n_28504_solar,solar,28504,10000,0,0,0,0,0,0,0,0
n_28505_solar,solar,28505,10000,0,0,0,0,0,0,0,0
n_28663_solar,solar,28663,10000,0,0,0,0,0,0,0,0
n_29005_solar,solar,29005,10000,0,0,0,0,0,0,0,0
n_30343_solar,solar,30343,10000,0,0,0,0,0,0,0,0
n_30401_solar,solar,30401,10000,0,0,0,0,0,0,0,0
n_4478_solar,solar,4478,10000,0,0,0,0,0,0,0,0
n_6687_solar,solar,6687,10000,0,0,0,0,0,0,0,0
n_7797_solar,solar,7797,10000,0,0,0,0,0,0,0,0
n_8330_solar,solar,8330,10000,0,0,0,0,0,0,0,0
n_8337_solar,solar,8337,10000,0,0,0,0,0,0,0,0
n_9845_solar,solar,9845,10000,0,0,0,0,0,0,0,0
n_9855_solar,solar,9855,10000,0,0,0,0,0,0,0,0
n_9903_solar,solar,9903,10000,0,0,0,0,0,0,0,0
n_9908_solar,solar,9908,10000,0,0,0,0,0,0,0,0
n_9927_solar,solar,9927,10000,0,0,0,0,0,0,0,0
n_9928_solar,solar,9928,10000,0,0,0,0,0,0,0,0
n_1063_wind,wind,1063,10000,0,0,0,0,0,0,0,0
n_12414_wind,wind,12414,10000,0,0,0,0,0,0,0,0
