line,reactance,limit
n_4507_n_28470,4.581634707,5175.742155
n_14030_n_26041,1.486062531,605.2939612
n_15664_n_28707,1.47717915,607.6611763
n_28669_n_22612,21.21250239,345.3666775
n_4540_n_11744,0.231266888,2032.004299
n_28310_n_3,2.142498047,477.0163665
n_1258_n_28625,0.733429754,958.5484814
n_18706_n_18709,1.229480147,684.7842662
n_7719_n_9967,1.8856782,1669.407527
n_14496_n_14497,0.405223105,1410.436566
n_15226_n_28662,6.856370684,223.699545
n_4496_n_30852,2.749865812,1305.87009
n_9830_n_9832,0.908014052,2686.417448
n_9941_n_23813,0.387713024,4674.8911
n_23767_n_9823,0.611348751,3475.502492
n_4481_n_14593,0.497323235,1234.38506
n_30065_n_9928,2.685253018,1326.240812
n_10019_n_10018,0.114906114,10318.30542
n_31012_n_30494,4.262815958,304.8105591
n_1851_n_13431,0.838004442,878.8790822
n_6705_n_6707,0.377601779,4756.00834
n_29024_n_30525,0.071416637,14062.68851
n_7601_n_22817,0.26852561,5937.75212
n_14502_n_28300,0.559831612,3680.496279
n_7601_n_22814,0.746090606,3052.84285
n_7045_n_15666,4.104426622,312.4173241
n_14522_n_28306,0.150907197,2683.010078
n_26276_n_28305,0.167769504,2504.230535
n_6669_n_9412,1.917799438,1651.151363
n_4532_n_10023,0.915599522,2671.907656
n_10051_n_23858,2.224877724,1498.978694
n_30897_n_30898,9.109858824,3308.68079
n_9841_n_23774,0.021489147,9543.063087
n_10014_n_18690,0.880141381,851.2533701
n_6913_n_31027,4.029574308,5626.952293
n_9933_n_30066,1.204562464,2234.970891
n_10017_n_29021,0.178534357,7744.990122
n_6177_n_22542,0.120340594,10012.52129
n_4093_n_7046,0.314382049,1663.86273
n_29011_n_23825,0.889369907,2722.946447
n_29239_n_30640,0.072852485,4310.3367
n_23600_n_6661,2.524485276,1380.629797
n_1258_n_28107,2.287492079,457.1085916
n_9881_n_28663,3.778449541,1061.843691
n_26302_n_26303,0.412504387,1394.178828
n_6967_n_6972,0.123552848,3056.091384
n_16281_n_18691,2.193431723,469.7758433
n_18293_n_18290,4.551451143,292.0834218
n_6687_n_7062,2.140329375,1537.265511
n_18689_n_22611,8.471424039,627.757821
n_29018_n_29019,2.837271327,1279.538319
n_10024_n_11731,5.142250044,269.775034
n_26268_n_28300,0.049277914,5559.629205
n_6697_n_22546,0.607924725,3488.233414
n_17633_n_29477,2.033534147,493.5041129
n_6955_n_28703,0.729743122,3097.191691
n_20881_n_30304,0.321073811,1641.20452
n_2416_n_2417,2.405503538,1424.710602
n_9902_n_9909,3.215912193,366.1908264
n_26302_n_29293,1.896159808,516.4947355
n_9426_n_23802,3.250913372,1171.052185
n_9454_n_23779,0.021787727,30459.01155
n_9488_n_23600,0.712350219,3146.213956
n_28471_n_28502,5.083776858,875.3149858
n_23804_n_30061,5.527176779,828.9380556
n_14502_n_26265,0.922600681,825.5407549
n_3_n_28779,2.20389177,468.3231452
n_28311_n_28779,0.369303993,1498.288676
n_22537_n_30518,0.327368664,1620.590643
n_6661_n_31010,1.615591681,1846.153829
n_23771_n_23772,7.943786663,654.5967016
n_9945_n_23819,0.639172977,3376.246758
n_6647_n_28664,0.231076838,2033.092117
n_14522_n_28307,0.072505816,4323.741889
n_26272_n_28303,1.433951078,619.524707
n_9440_n_23773,0.98589962,2546.283026
n_1517_n_28509,3.476353111,1121.037432
n_9901_n_9905,1.952859045,1631.792783
n_18869_n_23842,0.279159617,5789.508868
n_13964_n_28275,0.510397396,1213.70763
n_13843_n_29240,0.099902994,11302.28245
n_319_n_19222,0.509774224,3911.909213
n_7049_n_28707,1.037849895,2462.567668
n_14576_n_26302,0.079614437,13102.25608
n_6707_n_6711,0.557951266,3688.566285
n_6913_n_28504,2.951497502,1247.079519
n_1572_n_1575,2.141232589,477.1998738
n_23856_n_30493,0.64723208,3348.819034
n_23772_n_28994,0.559770718,3680.75692
n_26303_n_14569,0.13129412,2937.546895
n_28505_n_30343,0.144636378,8882.824587
n_6191_n_18291,3.031547763,380.538804
n_4479_n_30205,0.59748982,1095.396429
n_28699_n_17633,1.447393081,615.7730486
n_6968_n_26833,7.449091177,211.945032
n_4478_n_30957,4.362250212,967.0305171
n_9874_n_9876,3.974591341,1027.430269
n_20880_n_20881,0.366881614,1504.721378
n_2042_n_23859,0.59475813,1098.669051
n_6132_n_6135,0.484197077,4045.221753
n_6969_n_22602,0.689841749,997.55437
n_9929_n_23812,0.348931386,5006.889415
n_4477_n_4521,2.949320553,1247.678683
n_9903_n_9908,2.509591053,1385.958534
n_9949_n_23815,3.061522689,1217.717258
n_9865_n_28955,0.195326137,7304.773716
n_6942_n_28471,2.835010189,397.5112487
n_10038_n_10037,0.391639791,4644.323347
n_23846_n_30068,0.379088454,4743.857772
n_29021_n_6669,3.697079221,1077.000021
n_9984_n_9986,0.105984742,10875.72812
n_9856_n_30061,1.159746542,711.3152405
n_10043_n_23813,1.807152722,1716.279878
n_30415_n_30416,0.332360185,1604.704348
n_6656_n_22539,0.080266673,13032.84731
n_1837_n_22589,1.27955048,2148.806847
n_6646_n_6652,0.092356857,11895.18905
n_11709_n_28665,0.767549173,930.5899146
n_6651_n_6663,3.55451322,1104.927786
n_6888_n_22590,1.363094262,640.3038732
n_6135_n_6134,3.769751,330.2044624
n_9822_n_22867,1.297485771,2129.42313
n_7045_n_22609,0.349043625,1554.34633
n_10040_n_23855,0.298272606,5545.215887
n_6400_n_28636,1.407050299,627.2099202
n_9853_n_9855,6.058701574,780.8411055
n_8318_n_8320,0.168467288,8043.223133
n_6938_n_28698,2.630683877,417.3474683
n_14000_n_14015,0.553435776,1151.398651
n_10014_n_4099,8.814995554,611.7192913
n_28470_n_30882,1.471461821,1961.946518
n_29803_n_4517,3.94244659,1032.876067
n_15626_n_15629,0.510293536,1213.868438
n_10024_n_10022,0.102797719,11094.06018
n_6709_n_18277,7.089315711,218.8865481
n_18289_n_19629,1.553134486,588.1463186
n_9439_n_9440,1.450949657,1979.958494
n_18283_n_18282,0.197988475,2248.277436
n_27920_n_27921,0.017559519,35052.10001
n_6689_n_6688,5.140464186,869.018937
n_29015_n_29973,0.070841423,4389.605259
n_26269_n_26268,0.086321404,3859.662608
n_7597_n_22818,0.029931766,24770.20523
n_30942_n_30944,0.241724188,6358.436966
n_340_n_6903,0.446773981,1323.595487
n_29240_n_29275,1.124756232,725.6437506
n_207_n_29228,2.46436356,1402.464741
n_9906_n_9908,1.230691885,2203.964241
n_6888_n_28954,1.60442197,1854.510743
n_340_n_6661,4.595733278,934.7571101
n_10025_n_14001,0.792663875,911.2876842
n_6688_n_28669,0.664690647,3291.292073
n_9868_n_23786,4.775373469,911.7126537
n_7050_n_23857,0.079516933,13112.7128
n_1837_n_6893,2.370214673,1438.483819
n_26303_n_26304,0.159916564,2583.615291
n_7720_n_30957,2.091048648,1560.754907
n_9927_n_23810,3.696593861,1077.092076
n_18278_n_18284,5.578405384,255.849414
n_17983_n_21770,0.138202631,2841.098985
n_1572_n_23849,3.454695721,1125.607507
n_23856_n_10044,0.022358357,29950.65975
n_1575_n_28509,10.96901028,530.5700811
n_28770_n_28771,0.556752567,3693.734294
n_7587_n_19221,0.249130993,6234.724836
n_6669_n_6939,1.522823401,1918.610913
n_13964_n_14027,0.752638654,942.5505671
n_6664_n_23768,0.523757691,3843.597154
n_23785_n_28652,0.720246051,3123.717175
n_6897_n_6902,0.060246715,15709.23857
n_7699_n_22867,0.258296147,6089.79945
n_6709_n_6710,0.072992713,4304.944177
n_28332_n_18271,0.113361819,3232.247383
n_28719_n_7062,7.200397139,697.8349439
n_1508_n_3484,0.918385196,828.0056299
n_4534_n_14031,0.270301801,1835.814616
n_9961_n_31016,0.67578063,3256.028712
n_6705_n_18281,0.146672036,2733.193484
n_28504_n_29228,20.78375316,1934.009681
n_9969_n_9971,4.524758872,944.276389
n_15661_n_18700,2.89288134,392.3162067
n_1506_n_29226,1.329167188,650.8968291
n_18303_n_30976,7.649610111,208.3115251
n_29000_n_31012,3.557398973,1104.344203
n_340_n_18493,1.227007986,2208.269692
n_20896_n_23861,0.185245874,7561.143141
n_23582_n_28946,0.24562277,1953.878745
n_21284_n_28664,1.815998852,1710.832636
n_23815_n_23816,4.029918545,1018.225319
n_9961_n_9962,0.532919673,3800.449455
n_14549_n_26292,0.109443987,10650.69212
n_7557_n_29874,1.883118009,1670.884714
n_9943_n_23816,1.940887588,1638.338032
n_6977_n_18870,6.205982613,238.6947198
n_4481_n_18308,4.975119372,887.7132047
n_7067_n_23767,1.477338929,1956.861955
n_6687_n_22611,0.041436646,20043.53824
n_25970_n_30630,0.220470206,2096.243329
n_15628_n_15626,1.898430299,516.0925164
n_18282_n_18283,0.197988475,2248.277436
n_23812_n_29005,3.169474729,1190.553824
n_9994_n_10012,1.364171553,2061.066718
n_18267_n_18269,0.194404572,2275.173749
n_6984_n_18870,0.265011884,1859.588021
n_6981_n_6982,1.323676517,652.6532265
n_6707_n_30400,2.955513101,1245.976214
n_7702_n_7703,0.39318692,4632.418343
n_319_n_6650,1.699740954,1786.128085
n_14503_n_26267,0.07182383,4350.424638
n_26268_n_26269,0.086321404,3859.662608
n_6968_n_6981,1.486254599,605.2430377
n_9955_n_29006,1.419998714,2007.94728
n_4093_n_28617,6.0148692,4335.315454
n_1572_n_7031,1.739690327,546.2799292
n_9871_n_23789,3.007438275,1231.929048
n_20562_n_20896,0.521914099,3852.43034
n_17892_n_28106,0.580031602,1116.748699
n_6913_n_6641,4.934481747,892.4656616
n_2042_n_22521,0.457322858,4198.42741
n_4540_n_21559,0.437108281,1342.57644
n_997_n_19629,0.49275277,1241.826593
n_9963_n_29011,3.491676882,1117.832153
n_7045_n_30086,1.204384416,2235.185978
n_18867_n_28636,1.422243015,622.8400532
n_13300_n_18297,1.312867418,656.1463184
n_6177_n_22543,0.354193747,4958.335881
n_7044_n_30087,0.078488128,4106.247266
n_3485_n_20883,0.210859318,6949.802299
n_10023_n_10024,5.444503994,837.1107044
n_6650_n_29973,0.196012559,2263.00579
n_18699_n_29017,0.669021863,3277.405061
n_9967_n_18301,0.058334161,4981.345172
n_18696_n_18705,6.937174594,714.9602115
n_23822_n_23823,1.12503005,2336.597557
n_4479_n_15609,1.724088996,549.4929584
n_9882_n_29000,3.39050515,1139.435201
n_6666_n_6678,0.063594743,4709.071374
n_12432_n_25047,0.038502772,21025.02253
n_4096_n_21285,0.454104498,4217.774277
n_6400_n_22425,3.326463971,358.2215136
n_333_n_334,0.919982093,2663.614619
n_9870_n_23789,0.700996392,3179.294711
n_18708_n_10875,1.735627672,547.1120232
n_23813_n_23814,0.004433984,85867.49182
n_18280_n_18279,1.776815776,538.8219505
n_23803_n_9856,0.075375345,13577.36458
n_28707_n_29661,5.35284534,262.8172376
n_28108_n_28504,2.495400096,431.9407927
n_18271_n_28332,0.113361819,3232.247383
n_9506_n_18869,2.403601246,442.6098221
n_1924_n_28663,11.19865853,2892.610008
n_9508_n_23786,0.534617097,3792.589785
n_6652_n_28470,0.231969977,6531.240458
n_14494_n_30260,0.250686161,1928.095847
n_23793_n_9887,3.349920596,1148.402936
n_9839_n_7069,4.425277325,297.4782531
n_16490_n_31089,0.28026197,1793.073977
n_9938_n_18295,4.766783139,283.4247363
n_22540_n_6665,0.262681077,6023.426576
n_2907_n_30301,0.201864937,2220.076009
n_9994_n_29016,1.757041636,1747.9888
n_9961_n_29011,0.695513061,3195.589741
n_4531_n_7797,2.095417808,483.9665019
n_328_n_12439,0.406796022,1406.883879
n_6660_n_7026,1.095623416,2377.235748
n_10029_n_10037,2.738803852,1309.301293
n_23782_n_9484,0.04226469,19787.0153
n_9479_n_23781,1.668657998,1807.717772
n_18692_n_20562,1.773489004,1737.418368
n_23850_n_29020,0.181043929,7674.929592
n_18493_n_22818,4.167748247,996.1756007
n_9456_n_23780,0.13650685,9223.722278
n_30522_n_23843,0.970561272,2572.407794
n_17892_n_17983,0.250143125,1930.819711
n_23850_n_28673,1.310390892,2115.747316
n_23817_n_30519,0.444187673,4278.839236
n_1517_n_20880,1.077538125,2403.134677
n_1572_n_7026,4.577576465,937.1691451
n_29015_n_30069,0.183077642,7619.319322
n_9833_n_28993,0.895322996,2711.146288
n_30401_n_29024,3.036014351,1224.368014
n_22611_n_30413,0.023425222,29055.45418
n_4452_n_13267,2.884199593,393.0845781
n_18271_n_18296,4.44766805,296.5024679
n_30067_n_9930,1.07038,2413.584642
n_9898_n_9903,1.531721924,1911.347393
n_7566_n_28767,1.439245547,1990.425587
n_23809_n_23810,0.116276465,10238.9775
n_9835_n_23770,0.132968149,9382.79136
n_18268_n_18262,1.333023219,649.6704765
n_6894_n_22592,1.152724942,2299.89674
n_9440_n_23772,1.603092313,1855.51196
n_9883_n_9856,0.076933371,4160.080865
n_6954_n_31267,2.557392644,425.0953634
n_6707_n_6708,0.26824435,5941.80442
n_9898_n_23805,1.523152908,1918.3407
n_17984_n_21770,0.058551395,4969.305928
n_218_n_29226,0.416832273,1384.738135
n_23842_n_10002,0.038364721,21074.24396
n_10043_n_28996,1.05293681,2439.539527
n_23784_n_28652,0.276803212,5821.546349
n_15689_n_29983,0.029432674,7775.965625
n_9480_n_9867,0.302514342,5494.474173
n_6688_n_6690,0.533489602,1179.24348
n_28504_n_28505,1.380613403,2045.054257
n_30523_n_28998,1.249277403,2182.563201
n_4534_n_11735,3.068870293,1215.818471
n_6965_n_6968,2.085346008,485.4869089
n_9458_n_23584,0.150743416,8646.863348
n_9933_n_23795,0.02826825,25709.64979
n_13988_n_17889,0.294593191,1735.795277
n_28714_n_30086,3.837495703,1051.178762
n_9820_n_7091,3.816019472,1055.026269
n_28471_n_29962,1.559879617,586.489428
n_1754_n_22817,0.195954973,7289.504656
n_2417_n_18867,2.182117543,471.3600957
n_4534_n_30912,0.168384401,2498.273462
n_9831_n_23770,2.011006191,1600.920013
n_6664_n_6674,0.501183003,3955.434061
n_323_n_19224,0.022173004,30113.4132
n_4098_n_21285,0.013839467,40928.23865
n_23857_n_7061,1.933694201,1642.303082
n_9851_n_28662,1.409409936,626.5261207
n_4473_n_30940,3.176552002,6569.368382
n_1258_n_10026,2.960450871,1244.622926
n_6895_n_22591,2.080071602,1566.111933
n_6691_n_7607,1.006875668,2511.623203
n_29016_n_29019,5.145590019,868.4552799
n_6904_n_18493,0.021752339,30491.26068
n_18707_n_18710,0.583452014,1112.482363
n_27913_n_6939,0.552867889,1152.168436
n_29000_n_23800,0.194366107,7328.241829
n_15691_n_29983,5.034879197,273.5064725
n_6971_n_6974,0.309539277,1680.76316
n_6684_n_4484,0.460182073,1298.36037
n_18262_n_18267,1.146058984,716.8342469
n_30212_n_27690,0.210623431,2159.531941
n_7064_n_7066,0.378019469,4752.586599
n_1506_n_28509,1.932493254,510.1520942
n_9871_n_23788,1.361005027,2064.18719
n_22815_n_22816,1.084410572,2393.209046
n_29018_n_28673,0.87291425,2756.254156
n_23803_n_9907,7.717655116,667.0198959
n_9414_n_28704,1.669852595,1806.875777
n_6024_n_7798,0.885790333,847.7153425
n_18698_n_28663,9.805020597,570.7669033
n_6710_n_18282,1.292179287,662.9661528
n_9874_n_23789,3.221138982,1178.087645
n_7046_n_7047,0.766294415,931.5816134
n_9870_n_18693,2.370471982,1438.382167
n_9833_n_23769,0.670657644,3272.198867
n_15641_n_30941,2.23473988,8259.432124
n_18278_n_18279,0.180631137,2386.659644
n_13988_n_15609,1.653738597,564.5995861
n_9850_n_23776,0.206834441,7037.54658
n_9934_n_9890,0.008942045,54388.40995
n_7699_n_23766,1.390212405,2035.850708
n_9891_n_23794,0.612210748,3472.316019
n_9927_n_30064,0.22246107,6711.651436
n_7031_n_30941,3.654828658,5996.122832
n_9854_n_23778,1.205086105,2234.338623
n_6706_n_30398,1.986029152,1613.998491
n_9480_n_12417,0.29919349,1718.37379
n_6667_n_22538,0.907866743,834.2382358
n_12439_n_25052,0.257553132,6101.230783
n_14508_n_28300,1.695649441,555.4752343
n_9845_n_9847,0.318678535,5311.400889
n_15690_n_15691,3.317135271,358.8770212
n_9834_n_23769,0.127523841,9641.659047
n_6930_n_28698,0.821101046,2868.266973
n_14027_n_14029,0.549143132,1157.24999
n_30212_n_29284,0.533004916,1179.941462
n_27914_n_27913,0.008575886,55889.10145
n_7589_n_28767,0.975636324,2563.688762
n_328_n_19233,0.396584476,4606.543907
n_9823_n_28718,0.062370292,15358.93946
n_15628_n_30412,0.893237655,843.1074969
n_30399_n_9943,2.79839053,1291.083837
n_4481_n_28107,0.321056788,1641.26117
n_18707_n_30524,0.040657196,20292.8618
n_29262_n_30421,1.004747145,780.9505208
n_6685_n_28700,3.716421436,1073.347664
n_9939_n_9940,1.075475789,2406.13365
n_11856_n_28998,0.244287747,6314.918729
n_325_n_19223,0.266657335,5964.801709
n_9961_n_18302,3.147082536,1196.061656
n_11709_n_28601,1.819950235,530.4735571
n_26569_n_31089,0.551405441,1154.156844
n_23854_n_23855,0.644434988,3358.274261
n_6673_n_6938,1.155378742,713.0646658
n_1586_n_16162,0.094220454,3645.809428
n_3484_n_20882,0.730901051,960.7060892
n_15690_n_29983,2.245489816,462.6568148
n_18291_n_18292,1.800022641,534.2893605
n_13478_n_29012,0.457912097,4194.909582
n_7091_n_7092,0.079262266,13140.12458
n_17985_n_28106,0.129961855,2957.115789
n_6685_n_31267,0.108304968,3329.709838
n_23844_n_29630,0.008042864,58273.26866
n_2417_n_28636,3.509113869,345.9703938
n_14496_n_26270,1.586849187,579.9810081
n_998_n_9907,0.743672902,949.9326807
n_1069_n_8325,3.80629953,1056.779389
n_14574_n_14575,0.419466245,4441.360272
n_6692_n_30524,0.826929624,2855.08956
n_6971_n_18870,0.292263691,1744.789528
n_1754_n_7608,1.665194646,1810.1645
n_13267_n_9905,1.892708827,517.1076043
n_27918_n_27920,0.087850095,3815.80602
n_29630_n_30523,0.57027311,3636.48498
n_18688_n_23858,2.575699806,1362.695926
n_1500_n_28711,1.085264172,742.7264576
n_9847_n_29005,0.305015441,5465.101767
n_18990_n_18704,0.05193956,5372.459055
n_9984_n_9968,1.5353745,1908.38607
n_9902_n_18289,0.296481506,1728.590174
n_6711_n_9937,2.136599649,1539.011942
n_9968_n_23825,10.32984251,551.7175046
n_23819_n_30399,3.108478411,1205.710681
n_2907_n_28509,1.170915758,706.8907267
n_14035_n_26041,0.03512589,6930.412561
n_326_n_5117,1.683448798,558.092698
n_4538_n_11735,2.323199277,452.522518
n_18297_n_18299,1.316302909,655.0309647
n_9868_n_23784,5.719243782,810.7077561
n_17983_n_17889,0.523378911,1194.024187
n_23849_n_30524,0.396572627,4606.633507
n_1500_n_3861,1.045432527,761.0282553
n_9846_n_29001,0.63032544,3407.022912
n_9938_n_9939,1.600143136,576.839621
n_1258_n_4532,2.365325029,1440.418975
