iteration,dual_inc,dual_lb,best_dual,level,g_norm
0,1137718709.9519587,1136093954.56273,1136093954.56273,1154984010.0828125,24661.52115051498
1,1141885688.5961225,1137557105.8107543,1137557105.8107543,1154984010.0828125,1611.140843961548
2,1142801243.394533,1137630837.7436416,1137630837.7436416,1154984010.0828125,1342.3480119018493
3,1138324506.2087007,1134959231.2346725,1137630837.7436416,1154984010.0828125,2554.760311523807
4,1144386594.7556067,1139704545.862098,1139704545.862098,1154984010.0828125,1015.861109682795
5,1136440672.0207043,1132732462.2749987,1139704545.862098,1154984010.0828125,2326.753660769035
6,1144369355.3185425,1137546709.1300802,1139704545.862098,1154984010.0828125,1308.696049576138
7,1139646069.329342,1133711144.1152296,1139704545.862098,1154984010.0828125,1979.2489443926286
8,1143430009.5686297,1137226178.451431,1139704545.862098,1154984010.0828125,1795.2140092597813
9,1138626087.0543892,1135469583.8828113,1139704545.862098,1154984010.0828125,2291.496411876944
10,1144273929.7373815,1139147809.5283697,1139704545.862098,1154984010.0828125,1740.326064624145
11,1140031679.7720056,1136178629.6277943,1139704545.862098,1154984010.0828125,2033.8408665911095
12,1143098173.0509906,1139353090.3491106,1139704545.862098,1154984010.0828125,1862.9664788253717
13,1141561552.239062,1138080522.4063592,1139704545.862098,1154984010.0828125,2203.6904413655707
14,1143586556.4174767,1139142511.2478752,1139704545.862098,1154984010.0828125,1542.6612130204483
15,1140619408.3883975,1136882971.4021008,1139704545.862098,1154984010.0828125,2162.6312497079766
16,1143743020.5756164,1139009341.080632,1139704545.862098,1154984010.0828125,1622.3421962998318
17,1141637158.5873337,1136789470.5013134,1139704545.862098,1154984010.0828125,2024.5082553543787
18,1143649790.4357743,1138929325.710894,1139704545.862098,1154984010.0828125,1767.0077154428855
19,1142216914.1911502,1136901322.7968185,1139704545.862098,1154984010.0828125,2106.5437850848243
20,1144014456.9723291,1138553942.5920262,1139704545.862098,1154984010.0828125,1671.994507887305
21,1138982648.4095993,1136396337.0676372,1139704545.862098,1154984010.0828125,2150.961606665112
22,1143561651.9537802,1138883043.1231136,1139704545.862098,1154984010.0828125,1904.880790798009
23,1140496139.7182431,1137654477.0090952,1139704545.862098,1154984010.0828125,1987.0533907775628
24,1142820955.0740895,1139068487.0081515,1139704545.862098,1154984010.0828125,2091.3980154778724
25,1141790964.354688,1138767213.4809918,1139704545.862098,1154984010.0828125,1844.7071849297126
26,1142181057.8379486,1137954972.9322832,1139704545.862098,1154984010.0828125,1960.6103285970312
27,1141737448.5700538,1138580428.5412068,1139704545.862098,1154984010.0828125,2137.867771065281
28,1142543160.916833,1138702620.3670826,1139704545.862098,1154984010.0828125,1871.5411338012448
29,1141899199.4936075,1138915368.401982,1139704545.862098,1154984010.0828125,2046.9692073150343
30,1142873347.8315063,1138588791.7524972,1139704545.862098,1154984010.0828125,
