iteration,g_norm
1,24661.52115051498
2,2813.4955444899047
3,1772.3437268200646
4,1796.3810349286791
5,1436.7149859506978
6,1515.1159802720815
7,1778.4503239834344
8,1204.9456102475845
9,1767.2154088031273
10,1196.0361896326203
11,1853.002724703458
12,1567.4761278689302
13,1694.3965234882205
14,1469.5134269111522
15,1337.1352046272573
16,1565.2452978249266
17,1359.0688636528416
18,1517.867638201178
19,919.9150788131884
20,1801.189936982963
21,969.3782134562036
22,1503.9923355885135
23,1749.227949489776
24,1323.8397368368946
25,2044.7238413012328
26,1455.319916604985
27,2022.255319808212
28,1274.80046416889
29,2109.800467420469
30,927.4403300507448
