iteration,dual_inc,dual_lb,best_dual,level,g_norm
0,1137718709.9519587,1136093954.56273,1136093954.56273,1154984010.0828125,24661.52115051498
1,1139606335.559956,1137604935.4204383,1137604935.4204383,1154984010.0828125,2386.086345727511
2,1138761075.607395,1135268455.218082,1137604935.4204383,1154984010.0828125,2038.9436923862627
3,1138621721.286414,1136304413.82873,1137604935.4204383,1154984010.0828125,2282.935171849399
4,1141120743.6716952,1137395917.5094619,1137604935.4204383,1154984010.0828125,1901.9223773189751
5,1139036197.6759374,1135680254.078029,1137604935.4204383,1154984010.0828125,2185.520559960593
6,1141666835.2628827,1136871410.104425,1137604935.4204383,1154984010.0828125,1867.1873861219738
7,1139055097.583417,1134641766.38168,1137604935.4204383,1154984010.0828125,2032.696306521526
8,1141352156.837104,1136223207.4888754,1137604935.4204383,1154984010.0828125,2095.6993648256666
9,1140716477.120459,1134822417.4582703,1137604935.4204383,1154984010.0828125,1971.1942960738008
10,1137256255.477568,1135528066.5211432,1137604935.4204383,1154984010.0828125,2715.2518215659825
11,1143092165.1754642,1137241921.6555471,1137604935.4204383,1154984010.0828125,2049.539965056557
12,1138002576.9827952,1134413152.913095,1137604935.4204383,1154984010.0828125,2152.1247927070867
13,1141482077.4664512,1137099145.7261918,1137604935.4204383,1154984010.0828125,2075.8047947238824
14,1140199245.0847077,1135949088.201325,1137604935.4204383,1154984010.0828125,2270.6466310776423
15,1141382964.6105697,1136954161.1783214,1137604935.4204383,1154984010.0828125,2124.8842705011652
16,1140940768.1982589,1136437304.2305949,1137604935.4204383,1154984010.0828125,2337.047952785974
17,1142385015.2921462,1137490534.7411137,1137604935.4204383,1154984010.0828125,2131.678487331732
18,1140845500.5941348,1135695229.2904315,1137604935.4204383,1154984010.0828125,2144.514147642947
19,1141919663.7275429,1137191656.9002306,1137604935.4204383,1154984010.0828125,2343.5737717944357
20,1142657677.6549692,1136924769.2853081,1137604935.4204383,1154984010.0828125,2129.103571700985
21,1141785300.4640274,1136878604.5712419,1137604935.4204383,1154984010.0828125,2141.1463010097773
22,1142424720.4623718,1136497188.9651399,1137604935.4204383,1154984010.0828125,2309.8333599105154
23,1142950577.2292838,1137640171.7763767,1137640171.7763767,1154984010.0828125,2109.120951351692
24,1142587893.6679094,1136267044.1436949,1137640171.7763767,1154984010.0828125,2230.5477531699253
25,1143269251.3146677,1137824726.543867,1137824726.543867,1154984010.0828125,2233.1563203460423
26,1142996093.072927,1136277487.998648,1137824726.543867,1154984010.0828125,2144.63451061507
27,1143427977.4451854,1137856016.9620821,1137856016.9620821,1154984010.0828125,2301.093730844254
28,1142271534.3892777,1137045125.9986935,1137856016.9620821,1154984010.0828125,2120.8631555976635
29,1141890374.4912739,1136271156.3690767,1137856016.9620821,1154984010.0828125,2122.303518529718
30,1142202478.2204258,1136837629.543978,1137856016.9620821,1154984010.0828125,
