iteration,g_norm
1,24661.52115051498
2,1611.140843961548
3,1342.3480119018493
4,2554.760311523807
5,1015.861109682795
6,2326.753660769035
7,1308.696049576138
8,1979.2489443926286
9,1795.2140092597813
10,2291.496411876944
11,1740.326064624145
12,2033.8408665911095
13,1862.9664788253717
14,2203.6904413655707
15,1542.6612130204483
16,2162.6312497079766
17,1622.3421962998318
18,2024.5082553543787
19,1767.0077154428855
20,2106.5437850848243
21,1671.994507887305
22,2150.961606665112
23,1904.880790798009
24,1987.0533907775628
25,2091.3980154778724
26,1844.7071849297126
27,1960.6103285970312
28,2137.867771065281
29,1871.5411338012448
30,2046.9692073150343
