iteration,g_norm
1,24661.52115051498
2,2386.086345727511
3,2038.9436923862627
4,2282.935171849399
5,1901.9223773189751
6,2185.520559960593
7,1867.1873861219738
8,2032.696306521526
9,2095.6993648256666
10,1971.1942960738008
11,2715.2518215659825
12,2049.539965056557
13,2152.1247927070867
14,2075.8047947238824
15,2270.6466310776423
16,2124.8842705011652
17,2337.047952785974
18,2131.678487331732
19,2144.514147642947
20,2343.5737717944357
21,2129.103571700985
22,2141.1463010097773
23,2309.8333599105154
24,2109.120951351692
25,2230.5477531699253
26,2233.1563203460423
27,2144.63451061507
28,2301.093730844254
29,2120.8631555976635
30,2122.303518529718
