F,L,avg_time,std_time,min_time,max_time,avg_ofv,std_ofv,seed1_time,seed2_time,seed3_time,seed1_ofv,seed2_ofv,seed3_ofv
12,12,31.000372349999992,0.5793066500000066,30.421065699999986,31.579679,6028778.293297766,0.0,31.579679,30.421065699999986,,6028778.293297766,6028778.293297766,
12,24,37.868665899999996,0.771408699999995,37.0972572,38.64007459999999,5914736.619111737,0.0,37.0972572,38.64007459999999,,5914736.619111737,5914736.619111737,
24,12,27.498622150000017,0.08235654999998587,27.41626560000003,27.580978700000003,4603377.944645289,0.0,27.41626560000003,27.580978700000003,,4603377.944645289,4603377.944645289,
24,24,29.384083750000002,0.07015484999999444,29.313928900000008,29.454238599999996,4559615.83660018,0.0,29.313928900000008,29.454238599999996,,4559615.83660018,4559615.83660018,
