g,t,var,multiplier
PP_1016_9,48,DT_Obl,6.720394143620149
PP_1016_9,48,PowerGenerated,-11.72396939021749
PP_1016_9,48,UT_Obl,-4.233280112142342
PP_1016_9,48,UnitOn,30.0
PP_1016_all,48,DT_Obl,4.264723452822145
PP_1016_all,48,PowerGenerated,-121.63664040794498
PP_1016_all,48,UT_Obl,166.39802928189926
PP_1016_all,48,UnitOn,37.02119974173392
PP_10795_GEN3,48,DT_Obl,32.0
PP_10795_GEN3,48,PowerGenerated,3.1174166007421
PP_10795_GEN3,48,UT_Obl,-0.05044915303311481
PP_10795_GEN3,48,UnitOn,9.723187451882806
PP_2706_CT5,48,DT_Obl,4.264723452822145
PP_2706_CT5,48,PowerGenerated,-59.57580534467499
PP_2706_CT5,48,UT_Obl,166.39802928189926
PP_2706_CT5,48,UnitOn,37.02119974173392
PP_2706_CT7,48,DT_Obl,4.264723452822145
PP_2706_CT7,48,PowerGenerated,-59.57580534467499
PP_2706_CT7,48,UT_Obl,166.39802928189926
PP_2706_CT7,48,UnitOn,37.02119974173392
PP_2706_GT1,48,DT_Obl,0.4366000823638232
PP_2706_GT1,48,PowerGenerated,-183.54759876069465
PP_2706_GT1,48,UT_Obl,40.0
PP_2706_GT1,48,UnitOn,28.967654233534745
PP_2706_GT2,48,DT_Obl,0.4366000823638232
PP_2706_GT2,48,PowerGenerated,-183.65083333734123
PP_2706_GT2,48,UT_Obl,40.0
PP_2706_GT2,48,UnitOn,28.967654233534745
PP_2706_ST6,48,DT_Obl,4.276078642730158
PP_2706_ST6,48,PowerGenerated,-36.88093227236905
PP_2706_ST6,48,UT_Obl,39.931868860551916
PP_2706_ST6,48,UnitOn,37.02119974173392
PP_2706_ST8,48,DT_Obl,5.2970692192874
PP_2706_ST8,48,PowerGenerated,-36.88093227236905
PP_2706_ST8,48,UT_Obl,56.84759259402357
PP_2706_ST8,48,UnitOn,37.02119974173392
PP_2707_GT1,48,DT_Obl,-1.2491555294151673
PP_2707_GT1,48,PowerGenerated,57.56697699908639
PP_2707_GT1,48,UT_Obl,39.988644810091984
PP_2707_GT1,48,UnitOn,36.81035675075881
PP_2707_GT2,48,DT_Obl,0.4366000823638232
PP_2707_GT2,48,PowerGenerated,-17.45724144139291
PP_2707_GT2,48,UT_Obl,40.0
PP_2707_GT2,48,UnitOn,26.031446335895
PP_2707_GT3,48,DT_Obl,0.16613220627561387
PP_2707_GT3,48,PowerGenerated,-10.383730626625209
PP_2707_GT3,48,UT_Obl,33.18964324924119
PP_2707_GT3,48,UnitOn,37.02119974173392
PP_2707_GT4,48,DT_Obl,0.4366000823638232
PP_2707_GT4,48,PowerGenerated,-17.45724144139291
PP_2707_GT4,48,UT_Obl,40.0
PP_2707_GT4,48,UnitOn,26.031446335895
PP_2709_1,48,DT_Obl,26.024395092331766
PP_2709_1,48,PowerGenerated,32.988263811198294
PP_2709_1,48,UT_Obl,0.41918650317118744
PP_2709_1,48,UnitOn,35.96424971776022
PP_2709_1A,48,DT_Obl,4.264723452822145
PP_2709_1A,48,PowerGenerated,-114.27424549441915
PP_2709_1A,48,UT_Obl,141.1184234255194
PP_2709_1A,48,UnitOn,37.02119974173392
PP_2709_1B,48,DT_Obl,4.264723452822145
PP_2709_1B,48,PowerGenerated,-114.27424549441915
PP_2709_1B,48,UT_Obl,166.39802928189926
PP_2709_1B,48,UnitOn,37.02119974173392
PP_2709_1C,48,DT_Obl,4.264723452822145
PP_2709_1C,48,PowerGenerated,-114.27424549441915
PP_2709_1C,48,UT_Obl,166.39802928189926
PP_2709_1C,48,UnitOn,37.02119974173392
PP_2709_2,48,DT_Obl,0.4366000823638232
PP_2709_2,48,PowerGenerated,-166.51389361401795
PP_2709_2,48,UT_Obl,40.0
PP_2709_2,48,UnitOn,28.967654233534745
PP_2709_3,48,DT_Obl,0.4366000823638232
PP_2709_3,48,PowerGenerated,-166.51389361401795
PP_2709_3,48,UT_Obl,40.0
PP_2709_3,48,UnitOn,28.967654233534745
PP_2709_4,48,DT_Obl,0.4366000823638232
PP_2709_4,48,PowerGenerated,32.78346692995562
PP_2709_4,48,UT_Obl,40.0
PP_2709_4,48,UnitOn,29.988644810091987
PP_2709_5,48,DT_Obl,-0.8406855436965279
PP_2709_5,48,PowerGenerated,-367.531833704998
PP_2709_5,48,UT_Obl,37.970238376620735
PP_2709_5,48,UnitOn,27.98159356652875
PP_2709_ST1,48,DT_Obl,4.264723452822145
PP_2709_ST1,48,PowerGenerated,-300.0513081786359
PP_2709_ST1,48,UT_Obl,166.39802928189926
PP_2709_ST1,48,UnitOn,37.02119974173392
PP_2713_CA1,48,DT_Obl,2.030337332062663
PP_2713_CA1,48,PowerGenerated,-547.2564045087677
PP_2713_CA1,48,UT_Obl,27.889561399172507
PP_2713_CA1,48,UnitOn,27.98159356652875
PP_2713_CT004,48,DT_Obl,0.4366000823638232
PP_2713_CT004,48,PowerGenerated,-27.456918871147984
PP_2713_CT004,48,UT_Obl,40.0
PP_2713_CT004,48,UnitOn,28.967654233534745
PP_2713_CT005,48,DT_Obl,0.4366000823638232
PP_2713_CT005,48,PowerGenerated,-27.456918871147984
PP_2713_CT005,48,UT_Obl,40.0
PP_2713_CT005,48,UnitOn,28.967654233534745
PP_2713_CT1,48,DT_Obl,-3.91203158953435
PP_2713_CT1,48,PowerGenerated,192.9337682986151
PP_2713_CT1,48,UT_Obl,3.1047748218005005
PP_2713_CT1,48,UnitOn,24.97449631192132
PP_2713_CT2,48,DT_Obl,5.2970692192874
PP_2713_CT2,48,PowerGenerated,351.4598989050102
PP_2713_CT2,48,UT_Obl,0.9575170888233142
PP_2713_CT2,48,UnitOn,37.02119974173392
PP_2716_GT1,48,DT_Obl,1.242807626804158
PP_2716_GT1,48,PowerGenerated,-28.037291812323268
PP_2716_GT1,48,UT_Obl,39.988644810091984
PP_2716_GT1,48,UnitOn,37.02119974173392
PP_2716_GT2,48,DT_Obl,11.723187451882806
PP_2716_GT2,48,PowerGenerated,-22.485067979714554
PP_2716_GT2,48,UT_Obl,14.720394143620153
PP_2716_GT2,48,UnitOn,29.988644810091987
PP_2716_GT3,48,DT_Obl,0.4366000823638232
PP_2716_GT3,48,PowerGenerated,-8.1520530382477
PP_2716_GT3,48,UT_Obl,40.0
PP_2716_GT3,48,UnitOn,28.967654233534745
PP_2716_GT4,48,DT_Obl,0.4366000823638232
PP_2716_GT4,48,PowerGenerated,-8.1520530382477
PP_2716_GT4,48,UT_Obl,40.0
PP_2716_GT4,48,UnitOn,28.967654233534745
PP_2720_CT11,48,DT_Obl,4.264723452822145
PP_2720_CT11,48,PowerGenerated,-56.65740967765851
PP_2720_CT11,48,UT_Obl,166.39802928189926
