F,L,avg_time,std_time,min_time,max_time,avg_ofv,std_ofv,seed1_time,seed2_time,seed3_time,seed1_ofv,seed2_ofv,seed3_ofv
12,12,12.36710895,0.0892117499999987,12.277897200000002,12.4563207,2798517.5456683855,0.0,12.4563207,12.277897200000002,,2798517.5456683855,2798517.5456683855,
12,24,14.825058549999998,0.030555550000006093,14.794502999999992,14.855614100000004,2768082.552426762,0.0,14.855614100000004,14.794502999999992,,2768082.552426762,2768082.552426762,
24,12,12.445824249999994,0.5392745499999947,11.9065497,12.985098799999989,2248699.009159066,0.0,11.9065497,12.985098799999989,,2248699.009159066,2248699.009159066,
24,24,12.565113700000012,0.36960170000000403,12.195512000000008,12.934715400000016,2209305.9788629077,0.0,12.934715400000016,12.195512000000008,,2209305.9788629077,2209305.9788629077,
