g,t,var,multiplier
PP_2706_CT7,192,UT_Obl,40.0
PP_2706_CT7,192,UnitOn,29.23931656754823
PP_2706_CT7,240,DT_Obl,22.7405144809569
PP_2706_CT7,240,PowerGenerated,-28.613793769464298
PP_2706_CT7,240,UT_Obl,40.0
PP_2706_CT7,240,UnitOn,29.351998632017512
PP_2706_CT7,288,DT_Obl,22.851482106379237
PP_2706_CT7,288,PowerGenerated,-30.2262865280014
PP_2706_CT7,288,UT_Obl,40.0
PP_2706_CT7,288,UnitOn,29.32980510693304
PP_2706_GT1,48,DT_Obl,29.91675127350741
PP_2706_GT1,48,PowerGenerated,17.63167940725734
PP_2706_GT1,48,UT_Obl,40.0
PP_2706_GT1,48,UnitOn,29.917957862103247
PP_2706_GT1,96,DT_Obl,29.91675127350741
PP_2706_GT1,96,PowerGenerated,17.63167940725734
PP_2706_GT1,96,UT_Obl,40.0
PP_2706_GT1,96,UnitOn,29.917957862103247
PP_2706_GT1,144,DT_Obl,29.91675127350741
PP_2706_GT1,144,PowerGenerated,17.63167940725734
PP_2706_GT1,144,UT_Obl,40.0
PP_2706_GT1,144,UnitOn,29.917957862103247
PP_2706_GT1,192,DT_Obl,29.91675127350741
PP_2706_GT1,192,PowerGenerated,17.63167940725734
PP_2706_GT1,192,UT_Obl,40.0
PP_2706_GT1,192,UnitOn,29.917957862103247
PP_2706_GT1,240,DT_Obl,29.91675127350741
PP_2706_GT1,240,PowerGenerated,17.63167940725734
PP_2706_GT1,240,UT_Obl,40.0
PP_2706_GT1,240,UnitOn,29.917957862103247
PP_2706_GT1,288,DT_Obl,29.91675127350741
PP_2706_GT1,288,PowerGenerated,17.63167940725734
PP_2706_GT1,288,UT_Obl,40.0
PP_2706_GT1,288,UnitOn,29.917957862103247
PP_2706_GT2,48,DT_Obl,29.91675127350741
PP_2706_GT2,48,PowerGenerated,17.623475193467662
PP_2706_GT2,48,UT_Obl,40.0
PP_2706_GT2,48,UnitOn,29.917957862103247
PP_2706_GT2,96,DT_Obl,29.91675127350741
PP_2706_GT2,96,PowerGenerated,17.623475193467662
PP_2706_GT2,96,UT_Obl,40.0
