iteration,g_norm
1,2481.38761017926
2,2323.8780067660964
3,2383.2158942535675
4,1951.131298166889
5,2030.1758686102366
6,1640.6298698488242
7,1675.158841243317
8,1573.9982873628185
9,1599.5019482541293
10,1503.0199115298813
11,1305.4083232344879
12,1217.465201277175
13,1058.0691033351086
14,1478.9959231884616
15,1071.6215092854177
16,1043.7138740970966
17,1139.6171727221326
18,743.5610609635335
19,1153.152546352015
20,813.0928525577185
21,1107.9463554599454
22,954.2116618076726
23,825.2779213758629
24,994.438856410589
25,862.0693401648192
26,841.035894524428
27,904.0741532468093
28,1057.4521923988439
29,1025.8828632921968
30,960.9291645848997
