iteration,dual_inc,dual_lb,best_dual,level,g_norm
0,8523506.528411591,8471090.398200085,8471090.398200085,9355192.633377025,2481.38761017926
1,8847641.060951814,8793191.376689473,8793191.376689473,9355192.633377025,1857.6847491871267
2,8917383.089650115,8864374.957405323,8864374.957405323,9355192.633377025,1804.5616681884744
3,9044074.837913089,8967994.304965941,8967994.304965941,9355192.633377025,1546.1288741076546
4,9072060.268189784,8998516.557528226,8998516.557528226,9355192.633377025,1402.6267617464614
5,9074156.066289214,9018638.878243256,9018638.878243256,9355192.633377025,1361.2334505516894
6,9083539.182198763,9016876.779854527,9018638.878243256,9355192.633377025,1325.4990107654987
7,9060423.015199855,9012244.183962112,9018638.878243256,9355192.633377025,1397.2018421717873
8,9090641.29770206,9008765.407715268,9018638.878243256,9355192.633377025,1203.4144582370693
9,9065952.836467426,8990219.429673871,9018638.878243256,9355192.633377025,1425.3992649391066
10,9099546.739054093,9018266.092302067,9018638.878243256,9355192.633377025,1160.8870407126553
11,9055360.875791885,8986270.063433891,9018638.878243256,9355192.633377025,1384.1874533313141
12,9101469.033127004,9040660.5435345,9040660.5435345,9355192.633377025,1098.4411320248228
13,9065162.95863137,8991869.94344348,9040660.5435345,9355192.633377025,1289.778398786071
14,9080834.133008845,9024019.6170586,9040660.5435345,9355192.633377025,1233.1486362843198
15,9070406.354212152,9015943.283514969,9040660.5435345,9355192.633377025,1289.697947262997
16,9082774.496885043,9017384.737091873,9040660.5435345,9355192.633377025,1245.5133557890206
17,9085960.253941912,9011210.945266958,9040660.5435345,9355192.633377025,1150.988270186851
18,9038989.957624985,8982960.71910622,9040660.5435345,9355192.633377025,1580.1016883641453
19,9123974.65076103,9038746.786260882,9040660.5435345,9355192.633377025,949.9133253021638
20,9029345.42066396,8968154.230577681,9040660.5435345,9355192.633377025,1334.619104839408
21,9109135.181581516,9033422.572268518,9040660.5435345,9355192.633377025,1178.445846861665
22,9089185.262185397,9017595.699253213,9040660.5435345,9355192.633377025,1137.803506363747
23,9076698.266528647,9013384.049343847,9040660.5435345,9355192.633377025,1194.2016314912598
24,9092411.45534299,9029038.791596051,9040660.5435345,9355192.633377025,1255.4597747941962
25,9109840.605464283,9028530.811486697,9040660.5435345,9355192.633377025,1283.6397182938229
26,9106809.486455414,9035371.652307874,9040660.5435345,9355192.633377025,1188.0544738293813
27,9087109.313402617,9022579.677728577,9040660.5435345,9355192.633377025,1215.0553194301624
28,9097494.441774132,9018996.094354717,9040660.5435345,9355192.633377025,1209.3533182448416
29,9100706.888250057,9026896.442432538,9040660.5435345,9355192.633377025,1234.8942266539004
30,9102231.354258418,9033203.955077557,9040660.5435345,9355192.633377025,
