iteration,g_norm
1,2481.38761017926
2,2342.2125941710988
3,1988.6707013174812
4,1872.2748403813032
5,1527.414147806009
6,1561.2467588214313
7,1061.237151846428
8,1232.9438266364696
9,993.0961995886406
10,1356.8795840767175
11,821.0909525328597
12,1071.4000072180347
13,1172.8805560770031
14,1162.407645864481
15,1151.1987469754756
16,1066.7804621376717
17,1030.314520303332
18,1230.7932028149114
19,1134.6388082147207
20,1069.5132739187015
21,1101.0140680648205
22,1154.5325113451497
23,1137.321507834932
24,1057.672605694466
25,1224.145165175613
26,1068.371319345014
27,1093.0468139138052
28,1147.2056593312986
29,1036.4465814534517
30,1183.989385553597
