iteration,dual_inc,dual_lb,best_dual,level,g_norm
0,8523506.528411591,8471090.398200085,8471090.398200085,9355192.633377025,2481.38761017926
1,8666298.833458632,8617575.494064404,8617575.494064404,9355192.633377025,2323.8780067660964
2,8784267.708724717,8724993.72739153,8724993.72739153,9355192.633377025,2383.2158942535675
3,8870493.489724375,8822929.816123888,8822929.816123888,9355192.633377025,1951.131298166889
4,8902892.200563772,8852771.765060024,8852771.765060024,9355192.633377025,2030.1758686102366
5,8948555.348750819,8884028.344256647,8884028.344256647,9355192.633377025,1640.6298698488242
6,8992161.877321918,8919244.83259492,8919244.83259492,9355192.633377025,1675.158841243317
7,9015168.332008846,8944730.449706988,8944730.449706988,9355192.633377025,1573.9982873628185
8,9031072.328001106,8969229.214795895,8969229.214795895,9355192.633377025,1599.5019482541293
9,9067438.657529093,9005017.313792313,9005017.313792313,9355192.633377025,1503.0199115298813
10,9096746.710688438,9009232.677910428,9009232.677910428,9355192.633377025,1305.4083232344879
11,9107591.360054398,9034991.754209816,9034991.754209816,9355192.633377025,1217.465201277175
12,9118505.522445545,9042233.462444635,9042233.462444635,9355192.633377025,1058.0691033351086
13,9114321.209044829,9046338.149221707,9046338.149221707,9355192.633377025,1478.9959231884616
14,9132688.641518056,9055610.535905262,9055610.535905262,9355192.633377025,1071.6215092854177
15,9137643.666264683,9052935.25959907,9055610.535905262,9355192.633377025,1043.7138740970966
16,9122427.1156036,9055027.70869755,9055610.535905262,9355192.633377025,1139.6171727221326
17,9143764.264584692,9060571.204814043,9060571.204814043,9355192.633377025,743.5610609635335
18,9101774.986994362,9037634.205289911,9060571.204814043,9355192.633377025,1153.152546352015
19,9116141.14854762,9049972.101534575,9060571.204814043,9355192.633377025,813.0928525577185
20,9118138.403377837,9050302.770451598,9060571.204814043,9355192.633377025,1107.9463554599454
21,9121877.91126508,9058208.825127237,9060571.204814043,9355192.633377025,954.2116618076726
22,9130870.915500274,9048099.796849452,9060571.204814043,9355192.633377025,825.2779213758629
23,9122129.39413194,9048290.89875744,9060571.204814043,9355192.633377025,994.438856410589
24,9129104.214030653,9062345.682820113,9062345.682820113,9355192.633377025,862.0693401648192
25,9131335.99503098,9044914.359446324,9062345.682820113,9355192.633377025,841.035894524428
26,9120678.027461864,9049620.288766732,9062345.682820113,9355192.633377025,904.0741532468093
27,9111795.037819082,9049030.05401912,9062345.682820113,9355192.633377025,1057.4521923988439
28,9133619.4393118,9048566.81757097,9062345.682820113,9355192.633377025,1025.8828632921968
29,9129737.551738685,9057563.593770368,9062345.682820113,9355192.633377025,960.9291645848997
30,9127952.1724884,9059463.46881568,9062345.682820113,9355192.633377025,
