F,L,avg_time,std_time,min_time,max_time,avg_ofv,std_ofv,seed1_time,seed2_time,seed3_time,seed1_ofv,seed2_ofv,seed3_ofv
6,6,18.96411549999999,0.0,18.96411549999999,18.96411549999999,4445498.133034335,0.0,18.96411549999999,,,4445498.133034335,,
6,12,25.97253170900001,0.0,25.97253170900001,25.97253170900001,4431522.711180671,0.0,25.97253170900001,,,4431522.711180671,,
6,24,38.62959208400002,0.0,38.62959208400002,38.62959208400002,4448545.746963397,0.0,38.62959208400002,,,4448545.746963397,,
12,6,16.930188791999996,0.0,16.930188791999996,16.930188791999996,4461428.823452207,0.0,16.930188791999996,,,4461428.823452207,,
12,12,18.513922917000002,0.0,18.513922917000002,18.513922917000002,4439867.258176352,0.0,18.513922917000002,,,4439867.258176352,,
12,24,23.17855791599999,0.0,23.17855791599999,23.17855791599999,4440220.233498987,0.0,23.17855791599999,,,4440220.233498987,,
24,6,15.131541249999998,0.0,15.131541249999998,15.131541249999998,4425037.027667676,0.0,15.131541249999998,,,4425037.027667676,,
24,12,21.028345041000023,0.0,21.028345041000023,21.028345041000023,4407471.12951812,0.0,21.028345041000023,,,4407471.12951812,,
24,24,20.313624458999982,0.0,20.313624458999982,20.313624458999982,4420554.87059171,0.0,20.313624458999982,,,4420554.87059171,,
48,6,19.411971667000046,0.0,19.411971667000046,19.411971667000046,4483429.412786976,0.0,19.411971667000046,,,4483429.412786976,,
48,12,19.857537417000003,0.0,19.857537417000003,19.857537417000003,4474491.225525093,0.0,19.857537417000003,,,4474491.225525093,,
48,24,20.78385858400003,0.0,20.78385858400003,20.78385858400003,4435632.699927551,0.0,20.78385858400003,,,4435632.699927551,,
