F,L,avg_time,std_time,min_time,max_time,avg_ofv,std_ofv,seed1_time,seed2_time,seed3_time,seed1_ofv,seed2_ofv,seed3_ofv
6,6,100.7606202500001,0.0,100.7606202500001,100.7606202500001,2813723317.449434,0.0,100.7606202500001,,,2813723317.449434,,
6,12,143.72586850000016,0.0,143.72586850000016,143.72586850000016,2823283393.8769746,0.0,143.72586850000016,,,2823283393.8769746,,
6,24,205.69878820899976,0.0,205.69878820899976,205.69878820899976,2814475797.4463944,0.0,205.69878820899976,,,2814475797.4463944,,
12,6,99.32974212499994,0.0,99.32974212499994,99.32974212499994,2816457521.5020676,0.0,99.32974212499994,,,2816457521.5020676,,
12,12,114.63307716700001,0.0,114.63307716700001,114.63307716700001,2823254976.5127635,0.0,114.63307716700001,,,2823254976.5127635,,
12,24,161.9170690840001,0.0,161.9170690840001,161.9170690840001,2843648662.654239,0.0,161.9170690840001,,,2843648662.654239,,
24,6,106.74192295900002,0.0,106.74192295900002,106.74192295900002,2802684568.00303,0.0,106.74192295900002,,,2802684568.00303,,
24,12,133.25835537500006,0.0,133.25835537500006,133.25835537500006,2800831012.584015,0.0,133.25835537500006,,,2800831012.584015,,
24,24,117.01681870899984,0.0,117.01681870899984,117.01681870899984,2802214250.3332396,0.0,117.01681870899984,,,2802214250.3332396,,
48,6,111.23547212499989,0.0,111.23547212499989,111.23547212499989,2800272629.8850493,0.0,111.23547212499989,,,2800272629.8850493,,
48,12,160.10089274999973,0.0,160.10089274999973,160.10089274999973,2802111847.460573,0.0,160.10089274999973,,,2802111847.460573,,
48,24,194.02176712500022,0.0,194.02176712500022,194.02176712500022,2797609397.3749495,0.0,194.02176712500022,,,2797609397.3749495,,
