iteration,g_norm
1,990.8555820252549
2,907.0004680555608
3,448.76829686800096
4,473.0418848293379
5,324.5986733779914
6,326.6429451025883
7,319.7278054863908
8,351.91028558796955
9,391.19312259582625
10,379.22001927739774
11,468.61556794050125
12,432.17083917507955
13,598.1232672992394
14,189.85822837815743
15,503.3346324989084
16,509.44654560523423
17,312.9202740600782
18,329.2876667040633
19,260.3524733455478
20,367.60193144215106
21,417.1558242848678
22,499.15287333887215
23,359.80027396018073
24,297.70873042254925
25,392.8467703640599
26,282.6330867176481
27,372.4307129617477
28,296.6121354873228
29,406.0202166886198
30,255.2265175555707
