iteration,dual_inc,dual_lb,best_dual,level,g_norm
0,2053972.328189504,2041054.7275044306,2041054.7275044306,2186009.549453529,990.8555820252549
1,2112234.278160894,2091991.894411214,2091991.894411214,2186009.549453529,448.76829686800085
2,2128498.6651590234,2111607.020740108,2111607.020740108,2186009.549453529,650.932308793394
3,2141213.194211048,2130104.7225233577,2130104.7225233577,2186009.549453529,541.3161891875144
4,2145407.576073575,2129240.2864553826,2130104.7225233577,2186009.549453529,169.9147129541834
5,2110953.943982953,2098389.2680228977,2130104.7225233577,2186009.549453529,440.5873125726613
6,2124224.9226078666,2106073.274529655,2130104.7225233577,2186009.549453529,492.7288981368715
7,2139563.6252136407,2120705.752007871,2130104.7225233577,2186009.549453529,545.1350676923189
8,2153014.6212396924,2133935.721599495,2133935.721599495,2186009.549453529,383.83770497864316
9,2145637.58266306,2130049.5234437175,2133935.721599495,2186009.549453529,474.02965619316035
10,2148951.2893689815,2131898.6002224935,2133935.721599495,2186009.549453529,479.1905833050207
11,2151302.6282170764,2131395.078241623,2133935.721599495,2186009.549453529,419.1398758483925
12,2150194.3589991084,2131256.0542134987,2133935.721599495,2186009.549453529,298.1604715025223
13,2132795.027532163,2122426.480128318,2133935.721599495,2186009.549453529,569.6231562002482
14,2145074.437836374,2130242.372600821,2133935.721599495,2186009.549453529,550.1962785527753
15,2135780.389357021,2128599.4638225054,2133935.721599495,2186009.549453529,460.18986122685214
16,2134824.494403303,2126425.3734510685,2133935.721599495,2186009.549453529,549.1295663208748
17,2144562.8695717244,2129453.511876708,2133935.721599495,2186009.549453529,436.2920530842848
18,2134949.3175916728,2119066.558613697,2133935.721599495,2186009.549453529,528.0488810890581
19,2151033.3707186556,2132356.4798639882,2133935.721599495,2186009.549453529,291.3922022060531
20,2119214.0958697074,2112414.2080516103,2133935.721599495,2186009.549453529,554.9157560595146
21,2141432.2242483594,2122801.0332651976,2133935.721599495,2186009.549453529,334.5402212759777
22,2133872.5353703783,2119074.838618601,2133935.721599495,2186009.549453529,563.1683442074199
23,2133448.936349449,2125498.750728746,2133935.721599495,2186009.549453529,560.1537188589499
24,2151180.746360002,2133926.7064364264,2133935.721599495,2186009.549453529,286.58089184254635
25,2126430.8613834586,2109933.9379785005,2133935.721599495,2186009.549453529,548.8025009687764
26,2139694.0843751053,2127861.277716578,2133935.721599495,2186009.549453529,611.8129277134553
27,2154075.1178334816,2135196.860065259,2135196.860065259,2186009.549453529,314.6277103740524
28,2142680.3531953734,2124514.205866607,2135196.860065259,2186009.549453529,430.4232469713337
29,2153891.8673525313,2134387.636579364,2135196.860065259,2186009.549453529,368.5358913265376
30,2151763.5598087236,2132148.564715418,2135196.860065259,2186009.549453529,
