iteration,g_norm
1,990.8555820252549
2,907.0004680555608
3,923.555674701751
4,779.9428480642712
5,448.73152805860013
6,425.6512472362864
7,426.9559743426629
8,430.64112384623195
9,323.47673190515417
10,258.3731036823291
11,363.9260081277097
12,294.4889269220356
13,287.50374038679206
14,252.0116045068015
15,370.5026025889152
16,277.81239727501804
17,274.97528312549355
18,239.9056091590968
19,317.75030069944535
20,332.1027508796353
21,452.36383665578217
22,220.22701175512418
23,344.097060529307
24,291.80094829950843
25,278.9625338307883
26,233.2905894537809
27,455.3086108487771
28,455.30861084877694
29,237.34393260859233
30,461.6424537526249
