iteration,g_norm
1,990.8555820252549
2,448.76829686800085
3,650.932308793394
4,541.3161891875144
5,169.9147129541834
6,440.5873125726613
7,492.7288981368715
8,545.1350676923189
9,383.83770497864316
10,474.02965619316035
11,479.1905833050207
12,419.1398758483925
13,298.1604715025223
14,569.6231562002482
15,550.1962785527753
16,460.18986122685214
17,549.1295663208748
18,436.2920530842848
19,528.0488810890581
20,291.3922022060531
21,554.9157560595146
22,334.5402212759777
23,563.1683442074199
24,560.1537188589499
25,286.58089184254635
26,548.8025009687764
27,611.8129277134553
28,314.6277103740524
29,430.4232469713337
30,368.5358913265376
