iteration,g_norm
1,1731.055431167893
2,1710.1529345705487
3,1236.7028904061424
4,1273.87026645359
5,1003.1813084488164
6,799.2120555363873
7,838.0144887381199
8,762.7101410918108
9,698.9204565858124
10,899.935608521352
11,645.4606236402784
12,897.9376859777187
13,575.3860546002381
14,670.0558028262691
15,636.9841018064267
16,688.4187177851284
17,751.2717573460469
18,659.407619297277
19,844.2936806055232
20,494.58901344450993
21,960.983973765628
22,572.7246745338832
23,666.2071525584563
24,483.7963527761085
25,974.9952255329906
26,606.4876531691895
27,721.1309224898289
28,518.0484000433767
29,707.5729032941292
30,697.3733428034557
