iteration,dual_inc,dual_lb,best_dual,level,g_norm
0,4048707.748350014,4025724.7014245945,4025724.7014245945,4443448.244986438,1731.055431167893
1,4215494.889125112,4186404.3478719634,4186404.3478719634,4443448.244986438,1317.9001780606113
2,4256798.431361369,4226706.55655229,4226706.55655229,4443448.244986438,978.973103747786
3,4304944.139187779,4274223.226803429,4274223.226803429,4443448.244986438,892.5363205466947
4,4326998.378391732,4295903.827327211,4295903.827327211,4443448.244986438,699.9153042408643
5,4319051.668462042,4280417.675188203,4295903.827327211,4443448.244986438,841.8703837672371
6,4331261.879387334,4303725.987848011,4303725.987848011,4443448.244986438,665.3277397334407
7,4320147.711317626,4296643.8706035465,4303725.987848011,4443448.244986438,790.3675581087585
8,4347815.826148276,4305978.348307318,4305978.348307318,4443448.244986438,720.5310409974624
9,4324665.784798719,4294462.55478323,4305978.348307318,4443448.244986438,720.4682259763423
10,4332462.647737482,4303083.200413767,4305978.348307318,4443448.244986438,715.9297057161448
11,4329648.912076752,4305865.863794096,4305978.348307318,4443448.244986438,725.076475056146
12,4335006.427365799,4299521.458218677,4305978.348307318,4443448.244986438,950.4695042231646
13,4348287.710067673,4320257.433337751,4320257.433337751,4443448.244986438,623.5489412139572
14,4314085.446252405,4285351.284315018,4320257.433337751,4443448.244986438,848.5995951529114
15,4350300.567905837,4307252.634235194,4320257.433337751,4443448.244986438,462.0027003888706
16,4303504.352083061,4269531.349669932,4320257.433337751,4443448.244986438,896.7546718400966
17,4340551.448649777,4306696.8180138655,4320257.433337751,4443448.244986438,775.8585741209274
18,4334347.891192247,4312085.188512747,4320257.433337751,4443448.244986438,694.0417857206551
19,4332510.602918666,4303020.732993496,4320257.433337751,4443448.244986438,864.8187357122719
20,4349114.883579307,4316039.9816186195,4320257.433337751,4443448.244986438,479.59163480147964
21,4316222.071421057,4281066.380134122,4320257.433337751,4443448.244986438,831.1557362912179
22,4334283.69540008,4313597.845411706,4320257.433337751,4443448.244986438,678.9974451732625
23,4346980.888393721,4310158.5159874875,4320257.433337751,4443448.244986438,501.42433013225525
24,4297985.455445643,4281708.618016507,4320257.433337751,4443448.244986438,1059.9278807707208
25,4354618.349056532,4319197.316613814,4320257.433337751,4443448.244986438,714.380585251434
26,4340173.873105004,4310492.453362085,4320257.433337751,4443448.244986438,713.8699135130539
27,4333229.051126894,4300711.714990103,4320257.433337751,4443448.244986438,828.6236157477855
28,4361310.713539713,4322498.543451813,4322498.543451813,4443448.244986438,439.7434362272813
29,4306221.612443591,4283432.579845242,4322498.543451813,4443448.244986438,818.6999219263021
30,4341168.945006133,4310103.235342446,4322498.543451813,4443448.244986438,
