iteration,g_norm
1,1731.055431167893
2,1317.9001780606113
3,978.973103747786
4,892.5363205466947
5,699.9153042408643
6,841.8703837672371
7,665.3277397334407
8,790.3675581087585
9,720.5310409974624
10,720.4682259763423
11,715.9297057161448
12,725.076475056146
13,950.4695042231646
14,623.5489412139572
15,848.5995951529114
16,462.0027003888706
17,896.7546718400966
18,775.8585741209274
19,694.0417857206551
20,864.8187357122719
21,479.59163480147964
22,831.1557362912179
23,678.9974451732625
24,501.42433013225525
25,1059.9278807707208
26,714.380585251434
27,713.8699135130539
28,828.6236157477855
29,439.7434362272813
30,818.6999219263021
