iteration,g_norm
1,1731.055431167893
2,1663.8551733389813
3,1667.1878842604544
4,1664.9182247791925
5,1244.443104699586
6,1203.674973012368
7,961.5341774948902
8,1000.4619591263714
9,897.5905171107928
10,923.6736685168746
11,778.1678138895968
12,714.5131399855387
13,874.7183371735249
14,608.7324077974747
15,601.2284566699952
16,730.1762925766469
17,722.2826875650909
18,581.7192546246782
19,717.5376231958912
20,474.66442582948815
21,702.1903624783224
22,527.4888386462675
23,590.7997403259079
24,659.7403090705637
25,513.7976239905397
26,461.6553796527849
27,504.49652634367123
28,573.600623242696
29,584.3789889319531
30,777.9376704068027
