iteration,dual_inc,dual_lb,best_dual,level,g_norm
0,4048707.748350014,4025724.7014245945,4025724.7014245945,4443448.244986438,1731.055431167893
1,4126031.805146318,4097161.038985289,4097161.038985289,4443448.244986438,1663.8551733389813
2,4178388.5181956226,4152693.6011229465,4152693.6011229465,4443448.244986438,1667.1878842604544
3,4230724.312113674,4192030.4490892924,4192030.4490892924,4443448.244986438,1664.9182247791925
4,4244354.917485494,4215008.673679038,4215008.673679038,4443448.244986438,1244.443104699586
5,4260706.948570337,4227059.4697766695,4227059.4697766695,4443448.244986438,1203.674973012368
6,4284141.308200983,4244640.796012886,4244640.796012886,4443448.244986438,961.5341774948902
7,4292690.874295861,4262916.68696337,4262916.68696337,4443448.244986438,1000.4619591263714
8,4302411.721951927,4276603.676677041,4276603.676677041,4443448.244986438,897.5905171107928
9,4324850.2906619925,4293627.826730942,4293627.826730942,4443448.244986438,923.6736685168746
10,4323391.354058583,4294241.28893362,4294241.28893362,4443448.244986438,778.1678138895968
11,4344014.011345091,4302094.734958526,4302094.734958526,4443448.244986438,714.5131399855387
12,4331036.019417734,4310736.660555417,4310736.660555417,4443448.244986438,874.7183371735249
13,4360616.797973081,4320586.994728093,4320586.994728093,4443448.244986438,608.7324077974747
14,4349440.4530897625,4313599.688656103,4320586.994728093,4443448.244986438,601.2284566699952
15,4348062.852654244,4315216.56621096,4320586.994728093,4443448.244986438,730.1762925766469
16,4354896.780864831,4315110.902930342,4320586.994728093,4443448.244986438,722.2826875650909
17,4351809.219228517,4319068.164000745,4320586.994728093,4443448.244986438,581.7192546246782
18,4357120.668722292,4316496.201325344,4320586.994728093,4443448.244986438,717.5376231958912
19,4359462.7575938925,4316021.40014297,4320586.994728093,4443448.244986438,474.66442582948815
20,4351759.167369604,4309719.917522243,4320586.994728093,4443448.244986438,702.1903624783224
21,4351321.657363743,4316188.290636634,4320586.994728093,4443448.244986438,527.4888386462675
22,4349001.44029556,4312669.81384862,4320586.994728093,4443448.244986438,590.7997403259079
23,4361183.624414339,4319418.348373507,4320586.994728093,4443448.244986438,659.7403090705637
24,4363522.836790339,4326625.001398925,4326625.001398925,4443448.244986438,513.7976239905397
25,4355267.153530192,4315439.923973732,4326625.001398925,4443448.244986438,461.6553796527849
26,4353240.3287272435,4312516.853815683,4326625.001398925,4443448.244986438,504.49652634367123
27,4333321.568269812,4315476.178688925,4326625.001398925,4443448.244986438,573.600623242696
28,4359255.131527715,4318511.547001339,4326625.001398925,4443448.244986438,584.3789889319531
29,4355654.188631356,4313433.502987721,4326625.001398925,4443448.244986438,777.9376704068027
30,4352701.760968377,4313942.972154977,4326625.001398925,4443448.244986438,
