iteration,g_norm
1,24747.120604872787
2,34640.77956087041
3,34636.90379100075
4,34548.81081269366
5,24577.27437481548
6,34560.495217897245
7,34619.067206805164
8,2629.1644891328433
9,14628.027672478354
10,14449.50076750083
11,10428.637106285145
12,14281.907142385187
13,14453.091971755417
14,3008.864196769639
15,4057.386870788465
16,14631.919252526524
17,17602.8948110423
18,10747.27228263854
19,14479.09952217351
20,3112.1699395106075
21,3490.318460778731
22,3416.935026742939
23,3538.1513807304204
24,3705.625137252855
25,20216.581585512868
26,14603.490806297128
27,20218.148451425688
28,20213.966073663913
29,3616.2035364531725
30,10744.20641782284
