iteration,dual_inc,dual_lb,best_dual,level,g_norm
0,2745346222.0746636,2742575297.0679736,2742575297.0679736,2804136429.4242806,24747.120604872787
1,2719532326.8247857,2712163297.71813,2742575297.0679736,2804136429.4242806,34640.77956087041
2,2725689419.437802,2721695541.5497584,2742575297.0679736,2804136429.4242806,34636.90379100075
3,2743756030.7849836,2739870463.885145,2742575297.0679736,2804136429.4242806,34548.81081269366
4,2742631584.720464,2735156848.7793617,2742575297.0679736,2804136429.4242806,24577.27437481548
5,2747519731.6982327,2739948916.6711516,2742575297.0679736,2804136429.4242806,34560.495217897245
6,2738500503.1553183,2734308341.2545705,2742575297.0679736,2804136429.4242806,34619.067206805164
7,2750165427.1432457,2746132087.9578743,2746132087.9578743,2804136429.4242806,2629.1644891328433
8,2732741067.616777,2720677502.936131,2746132087.9578743,2804136429.4242806,14628.027672478354
9,2741763243.3652096,2725361425.637362,2746132087.9578743,2804136429.4242806,14449.50076750083
10,2734682552.871031,2714919527.2008615,2746132087.9578743,2804136429.4242806,10428.637106285145
11,2739180597.291315,2725795645.9117646,2746132087.9578743,2804136429.4242806,14281.907142385187
12,2744738133.7294874,2731241911.0331163,2746132087.9578743,2804136429.4242806,14453.091971755417
13,2751503568.627955,2735756808.4033523,2746132087.9578743,2804136429.4242806,3008.864196769639
14,2751589400.198207,2738303952.951805,2746132087.9578743,2804136429.4242806,4057.386870788465
15,2743053643.229196,2734755639.8617992,2746132087.9578743,2804136429.4242806,14631.919252526524
16,2735186316.633114,2720006190.059507,2746132087.9578743,2804136429.4242806,17602.8948110423
17,2746681120.7311087,2739468125.854793,2746132087.9578743,2804136429.4242806,10747.27228263854
18,2730463614.4406033,2721324055.4740467,2746132087.9578743,2804136429.4242806,14479.09952217351
19,2755108106.9679375,2746925807.3229003,2746925807.3229003,2804136429.4242806,3112.1699395106075
20,2746155324.197818,2727854608.7259727,2746925807.3229003,2804136429.4242806,3490.318460778731
21,2752116191.851522,2731815693.762889,2746925807.3229003,2804136429.4242806,3416.935026742939
22,2747931683.619669,2730521845.7748837,2746925807.3229003,2804136429.4242806,3538.1513807304204
23,2756389259.7964,2736740668.1134624,2746925807.3229003,2804136429.4242806,3705.625137252855
24,2750800354.9680767,2734130159.461833,2746925807.3229003,2804136429.4242806,20216.581585512868
25,2737261006.1186557,2725615532.122141,2746925807.3229003,2804136429.4242806,14603.490806297128
26,2744468070.7762885,2731068503.1286626,2746925807.3229003,2804136429.4242806,20218.148451425688
27,2743747219.615113,2730293385.214089,2746925807.3229003,2804136429.4242806,20213.966073663913
28,2751833467.4445863,2740100552.6938105,2746925807.3229003,2804136429.4242806,3616.2035364531725
29,2756546765.3894634,2737317486.0130243,2746925807.3229003,2804136429.4242806,10744.20641782284
30,2735296870.459754,2718223155.9327035,2746925807.3229003,2804136429.4242806,
