iteration,g_norm
1,24747.120604872787
2,34577.43348223806
3,34662.52771729114
4,34484.07821313645
5,24600.287262269958
6,34469.53467574342
7,34615.15813134267
8,2750.925023812677
9,3168.395343128458
10,14272.961114003536
11,10494.282448425283
12,14224.98366776205
13,2699.739173953972
14,3176.515089720756
15,3467.6127529214245
16,3629.3728649812656
17,10462.43899900698
18,14379.309330860813
19,14433.491558576387
20,14461.954771019931
21,10397.768953217115
22,14347.264104709544
23,14375.6661071272
24,2886.400110276413
25,2991.4659698621854
26,3435.928656239918
27,3190.004652206316
28,3159.1467431148535
29,3564.382472872374
30,3290.595577858454
