iteration,dual_inc,dual_lb,best_dual,level,g_norm
0,2745346222.0746636,2742575297.0679736,2742575297.0679736,2804136429.4242806,24747.120604872787
1,2726120673.123163,2723294684.279419,2742575297.0679736,2804136429.4242806,34577.43348223806
2,2734322901.6445475,2731183313.9862447,2742575297.0679736,2804136429.4242806,34662.52771729114
3,2743847338.4651637,2740939502.184668,2742575297.0679736,2804136429.4242806,34484.07821313645
4,2745293782.980854,2739120297.987626,2742575297.0679736,2804136429.4242806,24600.287262269958
5,2748068606.0878434,2742004663.170349,2742575297.0679736,2804136429.4242806,34469.53467574342
6,2739982200.0637474,2736721293.2477226,2742575297.0679736,2804136429.4242806,34615.15813134267
7,2748649044.9512143,2745629995.446685,2745629995.446685,2804136429.4242806,2750.925023812677
8,2751691246.4184713,2737933879.782777,2745629995.446685,2804136429.4242806,3168.395343128458
9,2746113040.7358723,2728521656.2016754,2745629995.446685,2804136429.4242806,14272.961114003536
10,2750515648.9858146,2735345035.856423,2745629995.446685,2804136429.4242806,10494.282448425283
11,2746087421.8603263,2733005642.2361684,2745629995.446685,2804136429.4242806,14224.98366776205
12,2758015951.29961,2741683608.5729003,2745629995.446685,2804136429.4242806,2699.739173953972
13,2751775485.6841445,2729619554.324762,2745629995.446685,2804136429.4242806,3176.515089720756
14,2752381625.77438,2736714884.6069336,2745629995.446685,2804136429.4242806,3467.6127529214245
15,2750138900.099741,2733716849.21319,2745629995.446685,2804136429.4242806,3629.3728649812656
16,2755164546.204703,2742512334.767076,2745629995.446685,2804136429.4242806,10462.43899900698
17,2743017435.1094165,2728505910.010506,2745629995.446685,2804136429.4242806,14379.309330860813
18,2751692734.3487964,2737435213.0034385,2745629995.446685,2804136429.4242806,14433.491558576387
19,2762016670.8889256,2743385281.5592504,2745629995.446685,2804136429.4242806,14461.954771019931
20,2755829867.3917294,2743345294.5771394,2745629995.446685,2804136429.4242806,10397.768953217115
21,2756595376.6586795,2742784126.78905,2745629995.446685,2804136429.4242806,14347.264104709544
22,2756581306.490871,2742477637.755353,2745629995.446685,2804136429.4242806,14375.6661071272
23,2760471748.174007,2746770762.2446027,2746770762.2446027,2804136429.4242806,2886.400110276413
24,2752383200.2482414,2737669146.370206,2746770762.2446027,2804136429.4242806,2991.4659698621854
25,2754281038.542187,2736676230.8235426,2746770762.2446027,2804136429.4242806,3435.928656239918
26,2754640256.952849,2736249411.9570904,2746770762.2446027,2804136429.4242806,3190.004652206316
27,2756554150.865387,2738997188.826792,2746770762.2446027,2804136429.4242806,3159.1467431148535
28,2752838692.4857435,2738714150.0310364,2746770762.2446027,2804136429.4242806,3564.382472872374
29,2755396793.7023215,2740724684.797053,2746770762.2446027,2804136429.4242806,3290.595577858454
30,2760247781.357424,2739230565.746043,2746770762.2446027,2804136429.4242806,
