iteration,g_norm
1,24747.120604872787
2,34756.60853986181
3,34786.52484898211
4,34776.2487433315
5,24731.877566662275
6,34556.16773192891
7,34659.58567374112
8,3064.0569036087204
9,3192.4741838908453
10,10045.211416637268
11,14275.783186897188
12,14405.263547485905
13,2820.4602201700764
14,10081.974977067259
15,14326.649108710157
16,3165.2934401658886
17,3202.790738565888
18,2958.6326612356715
19,3155.735611527402
20,2815.257645131576
21,2855.367561030097
22,10649.89547176286
23,3595.6728136658544
24,14542.004718896715
25,10392.431969134539
26,2718.2605288675345
27,3791.7909617942073
28,2501.106326637017
29,10591.620464674877
30,14437.133514347823
