iteration,g_norm
1,25177.694509743214
2,35057.106540788875
3,35033.12965519326
4,49010.10056862711
5,54805.19450439892
6,49118.46552055768
7,54784.122886615565
8,49090.799552671786
9,42589.86176194918
10,48993.56564904845
11,54807.884270321156
12,34793.740547063295
13,42497.08077942214
14,34762.28829570904
15,34721.47834781787
16,3652.059855525324
17,14507.274547441566
18,17684.259889770656
19,17646.714688041353
20,20227.21253337188
21,14574.679259985622
22,19957.224049950953
23,14529.081376902892
24,17511.198347659218
25,17482.172044866238
26,14331.501344219516
27,17676.77353671883
28,3890.82526669039
29,14425.254469532487
30,17474.235909831325
