iteration,dual,best_dual,level,g_norm
0,1128666540.8250813,1128666540.8250813,1175106609.19,24695.464843400136
1,1115015409.9412167,1128666540.8250813,1175106609.19,34737.936330962846
2,1132578478.1873858,1132578478.1873858,1175106609.19,2856.174401429368
3,1132627651.368806,1132627651.368806,1175106609.19,2869.958390775503
4,1131381606.6045203,1132627651.368806,1175106609.19,14438.74589673728
5,1132851844.7865522,1132851844.7865522,1175106609.19,10360.87728412668
6,1134121682.000925,1134121682.000925,1175106609.19,14463.37135642019
7,1139018116.7970982,1139018116.7970982,1175106609.19,2652.1997338377996
8,1132502267.2128053,1139018116.7970982,1175106609.19,2763.413958276316
9,1130121486.784583,1139018116.7970982,1175106609.19,2994.858407388786
10,1139620501.1911345,1139620501.1911345,1175106609.19,2843.750750643398
11,1140893058.7903118,1140893058.7903118,1175106609.19,2766.6476173630776
12,1134750511.2124307,1140893058.7903118,1175106609.19,2765.191854325954
13,1139798015.815433,1140893058.7903118,1175106609.19,2630.1311414139896
14,1140652280.5154245,1140893058.7903118,1175106609.19,2583.7686103414717
15,1131747846.029326,1140893058.7903118,1175106609.19,3198.0512623250597
16,1140183649.0826852,1140893058.7903118,1175106609.19,2967.050212014584
17,1146538094.9073343,1146538094.9073343,1175106609.19,2233.5004032849465
18,1124795052.0814724,1146538094.9073343,1175106609.19,2795.1482750551863
19,1131251149.7329688,1146538094.9073343,1175106609.19,2676.273987482426
20,1142037710.506393,1146538094.9073343,1175106609.19,2636.875201439901
21,1144624324.2959585,1146538094.9073343,1175106609.19,14313.726235609482
22,1146129993.1722362,1146538094.9073343,1175106609.19,2231.510931736725
23,1131608673.211987,1146538094.9073343,1175106609.19,2838.2828106848933
24,1141922043.0553346,1146538094.9073343,1175106609.19,2263.5916575464385
25,1137332255.08303,1146538094.9073343,1175106609.19,2786.43180485908
26,1143457188.8156152,1146538094.9073343,1175106609.19,2723.0419473904844
27,1128039351.211001,1146538094.9073343,1175106609.19,3046.3099879596016
28,1138555682.936026,1146538094.9073343,1175106609.19,2463.1496715922995
29,1140291139.1885278,1146538094.9073343,1175106609.19,2053.542353348455
30,1139045255.4796362,1146538094.9073343,1175106609.19,
