iteration,g_norm
1,24695.464843400136
2,34737.936330962846
3,2856.174401429368
4,2869.958390775503
5,14438.74589673728
6,10360.87728412668
7,14463.37135642019
8,2652.1997338377996
9,2763.413958276316
10,2994.858407388786
11,2843.750750643398
12,2766.6476173630776
13,2765.191854325954
14,2630.1311414139896
15,2583.7686103414717
16,3198.0512623250597
17,2967.050212014584
18,2233.5004032849465
19,2795.1482750551863
20,2676.273987482426
21,2636.875201439901
22,14313.726235609482
23,2231.510931736725
24,2838.2828106848933
25,2263.5916575464385
26,2786.43180485908
27,2723.0419473904844
28,3046.3099879596016
29,2463.1496715922995
30,2053.542353348455
