iteration,dual,best_dual,level,g_norm
0,1128666540.8250813,1128666540.8250813,1175106609.19,24695.464843400136
1,1121968341.152588,1128666540.8250813,1175106609.19,34794.007665426085
2,1130354807.8326695,1130354807.8326695,1175106609.19,3865.441253485969
3,1132024732.9889486,1132024732.9889486,1175106609.19,14319.012079743376
4,1129147762.7454872,1132024732.9889486,1175106609.19,10392.163542150654
5,1133670907.6462743,1133670907.6462743,1175106609.19,14094.538514320106
6,1133757689.3282657,1133757689.3282657,1175106609.19,2438.216842206606
7,1133770449.6024587,1133770449.6024587,1175106609.19,2763.251544043391
8,1139036245.641916,1139036245.641916,1175106609.19,2370.0369376785466
9,1138480902.5514784,1139036245.641916,1175106609.19,2286.488750361148
10,1139525614.4595606,1139525614.4595606,1175106609.19,2416.6283678880604
11,1139919673.3038237,1139919673.3038237,1175106609.19,2277.1653264960814
12,1143773712.7997441,1143773712.7997441,1175106609.19,2409.7831364081426
13,1143813177.0492554,1143813177.0492554,1175106609.19,2237.4902830919495
14,1145397586.078056,1145397586.078056,1175106609.19,2405.9068873712067
15,1132132731.9237893,1145397586.078056,1175106609.19,14384.398848888746
16,1147278175.4627929,1147278175.4627929,1175106609.19,2063.5627583289947
17,1131317784.9008708,1147278175.4627929,1175106609.19,2812.9789588553226
18,1138973632.441091,1147278175.4627929,1175106609.19,2283.577424186267
19,1146582822.089869,1147278175.4627929,1175106609.19,2572.5866898820886
20,1137991903.1146007,1147278175.4627929,1175106609.19,2530.325407676672
21,1142316697.461629,1147278175.4627929,1175106609.19,10214.422107745666
22,1146460726.732965,1147278175.4627929,1175106609.19,14335.528785183342
23,1144369550.2967494,1147278175.4627929,1175106609.19,2161.967094678042
24,1141844600.9895458,1147278175.4627929,1175106609.19,2427.0072415908976
25,1148474997.2488124,1148474997.2488124,1175106609.19,2752.9858074690937
26,1146404694.8056219,1148474997.2488124,1175106609.19,2528.694510643316
27,1126329320.2527964,1148474997.2488124,1175106609.19,3172.7380848958956
28,1143036103.4421396,1148474997.2488124,1175106609.19,2274.4292160764817
29,1132344336.5614855,1148474997.2488124,1175106609.19,3051.047610501702
30,1144040475.290574,1148474997.2488124,1175106609.19,
