iteration,g_norm
1,24695.464843400136
2,34794.007665426085
3,3865.441253485969
4,14319.012079743376
5,10392.163542150654
6,14094.538514320106
7,2438.216842206606
8,2763.251544043391
9,2370.0369376785466
10,2286.488750361148
11,2416.6283678880604
12,2277.1653264960814
13,2409.7831364081426
14,2237.4902830919495
15,2405.9068873712067
16,14384.398848888746
17,2063.5627583289947
18,2812.9789588553226
19,2283.577424186267
20,2572.5866898820886
21,2530.325407676672
22,10214.422107745666
23,14335.528785183342
24,2161.967094678042
25,2427.0072415908976
26,2752.9858074690937
27,2528.694510643316
28,3172.7380848958956
29,2274.4292160764817
30,3051.047610501702
