iteration,dual,best_dual,level,g_norm
0,1115449117.4806182,1115449117.4806182,1175106609.19,25177.694509743214
1,1085682497.5392225,1115449117.4806182,1175106609.19,34895.16871802359
2,1093788649.4585824,1115449117.4806182,1175106609.19,34716.45998818922
3,1091644540.7076066,1115449117.4806182,1175106609.19,49047.399687951576
4,1099111555.6414638,1115449117.4806182,1175106609.19,54771.703442291946
5,1103788507.3219278,1115449117.4806182,1175106609.19,34817.9060486103
6,1100364407.0084467,1115449117.4806182,1175106609.19,49047.688643653164
7,1111734317.370459,1115449117.4806182,1175106609.19,34667.95948882308
8,1102843882.6424975,1115449117.4806182,1175106609.19,42474.631610337194
9,1107473084.108525,1115449117.4806182,1175106609.19,42471.958137834525
10,1113543328.739919,1115449117.4806182,1175106609.19,54672.51653363199
11,1120001274.6957324,1120001274.6957324,1175106609.19,34713.8103694831
12,1109081747.0289302,1120001274.6957324,1175106609.19,42517.155144145756
13,1109818693.889851,1120001274.6957324,1175106609.19,34718.404326369564
14,1112203779.4684691,1120001274.6957324,1175106609.19,34808.870367720796
15,1122843798.8586714,1122843798.8586714,1175106609.19,3665.0763959367227
16,1128677806.3896697,1128677806.3896697,1175106609.19,14487.37640366232
17,1106292094.632936,1128677806.3896697,1175106609.19,17463.06512080821
18,1118535233.8220117,1128677806.3896697,1175106609.19,20246.345573697123
19,1114073829.4519706,1128677806.3896697,1175106609.19,22624.836559364718
20,1124459376.8327024,1128677806.3896697,1175106609.19,14432.177291800435
21,1124907781.9189765,1128677806.3896697,1175106609.19,20336.593019135857
22,1128336969.1713872,1128677806.3896697,1175106609.19,14348.939984670049
23,1118747808.9825056,1128677806.3896697,1175106609.19,17747.35420254909
24,1125512696.9239492,1128677806.3896697,1175106609.19,17515.625315960642
25,1132855867.6819694,1132855867.6819694,1175106609.19,10549.085612507215
26,1120498419.9327765,1132855867.6819694,1175106609.19,14598.983649022235
27,1123222286.981195,1132855867.6819694,1175106609.19,14673.432010336513
28,1136058447.9963562,1136058447.9963562,1175106609.19,14648.579738401979
29,1131234872.1038709,1136058447.9963562,1175106609.19,14641.866308479533
30,1138511772.8659573,1138511772.8659573,1175106609.19,
