iteration,g_norm
1,25177.694509743214
2,34895.16871802359
3,34716.45998818922
4,49047.399687951576
5,54771.703442291946
6,34817.9060486103
7,49047.688643653164
8,34667.95948882308
9,42474.631610337194
10,42471.958137834525
11,54672.51653363199
12,34713.8103694831
13,42517.155144145756
14,34718.404326369564
15,34808.870367720796
16,3665.0763959367227
17,14487.37640366232
18,17463.06512080821
19,20246.345573697123
20,22624.836559364718
21,14432.177291800435
22,20336.593019135857
23,14348.939984670049
24,17747.35420254909
25,17515.625315960642
26,10549.085612507215
27,14598.983649022235
28,14673.432010336513
29,14648.579738401979
30,14641.866308479533
