iteration,dual,best_dual,level,g_norm
0,1115449117.4806182,1115449117.4806182,1175106609.19,25177.694509743214
1,1106918034.354413,1115449117.4806182,1175106609.19,35057.106540788875
2,1112037572.91999,1115449117.4806182,1175106609.19,35033.12965519326
3,1109230951.3246715,1115449117.4806182,1175106609.19,49010.10056862711
4,1115119951.8835058,1115449117.4806182,1175106609.19,54805.19450439892
5,1112934431.2060173,1115449117.4806182,1175106609.19,49118.46552055768
6,1114923004.7607522,1115449117.4806182,1175106609.19,54784.122886615565
7,1115767723.2240062,1115767723.2240062,1175106609.19,49090.799552671786
8,1114720096.6117206,1115767723.2240062,1175106609.19,42589.86176194918
9,1115985098.6507518,1115985098.6507518,1175106609.19,48993.56564904845
10,1115752900.18237,1115985098.6507518,1175106609.19,54807.884270321156
11,1117951482.0793025,1117951482.0793025,1175106609.19,34793.740547063295
12,1113866144.1793618,1117951482.0793025,1175106609.19,42497.08077942214
13,1116098519.1601071,1117951482.0793025,1175106609.19,34762.28829570904
14,1116702066.8781533,1117951482.0793025,1175106609.19,34721.47834781787
15,1119986605.6919158,1119986605.6919158,1175106609.19,3652.059855525324
16,1125636121.9816039,1125636121.9816039,1175106609.19,14507.274547441566
17,1117434315.9673023,1125636121.9816039,1175106609.19,17684.259889770656
18,1122503537.268442,1125636121.9816039,1175106609.19,17646.714688041353
19,1123259071.2050111,1125636121.9816039,1175106609.19,20227.21253337188
20,1124900058.244679,1125636121.9816039,1175106609.19,14574.679259985622
21,1123748281.9844363,1125636121.9816039,1175106609.19,19957.224049950953
22,1125556005.7050037,1125636121.9816039,1175106609.19,14529.081376902892
23,1121502293.997501,1125636121.9816039,1175106609.19,17511.198347659218
24,1127203298.2411032,1127203298.2411032,1175106609.19,17482.172044866238
25,1126991927.4208565,1127203298.2411032,1175106609.19,14331.501344219516
26,1123758529.2074585,1127203298.2411032,1175106609.19,17676.77353671883
27,1129005812.2498162,1129005812.2498162,1175106609.19,3890.82526669039
28,1131685822.4643903,1131685822.4643903,1175106609.19,14425.254469532487
29,1128904808.8534837,1131685822.4643903,1175106609.19,17474.235909831325
30,1132170030.629772,1132170030.629772,1175106609.19,
