iteration,g_norm
1,25151.248739939645
2,34724.236415710395
3,34645.13145356687
4,48809.78708291027
5,54495.8384336428
6,49002.37395842251
7,34800.3917565905
8,48878.77282165693
9,34657.650851790124
10,48751.0847511555
11,42423.60908796798
12,48805.5611773252
13,42406.18244107436
14,34578.27213091801
15,42472.88826387231
16,48746.585103071164
17,24598.98027043143
18,34690.31733735762
19,34700.636137777954
20,34632.94612823689
21,34607.93687788052
22,34817.28333676893
23,4342.2303847316825
24,14675.027263428097
25,20339.817687396036
26,17856.259885206626
27,24314.837918088426
28,17526.52179289394
29,19812.412385492644
30,22052.549023488813
