iteration,g_norm
1,25151.248739939645
2,34991.21188087792
3,34820.63338162286
4,48853.836165070425
5,46956.5589328445
6,58156.78776246524
7,43420.5722493072
8,50883.95048389305
9,35940.30677784735
10,43381.03153046724
11,35960.95804458875
12,39877.101050970836
13,38787.91254728333
14,37152.58368115457
15,36063.56634157773
16,34666.54390939162
17,35889.324008007796
18,29711.47651485191
19,38622.12646261421
20,41283.9942307822
21,44749.61643448178
22,38805.879554609
23,31761.260170545567
24,22707.142477965674
25,31774.564904246035
26,31760.303613492953
27,31749.194294711062
28,31748.866020448797
29,31811.172168721387
30,3723.1021329141513
