iteration,dual_inc,dual_lb,best_dual,level,g_norm
0,5813639119.173556,5808573494.012856,5808573494.012856,5943385747.911647,25151.248739939645
1,5793842017.688298,5787817366.360066,5808573494.012856,5943385747.911647,34991.21188087792
2,5804259381.470892,5798273913.965288,5808573494.012856,5943385747.911647,34820.63338162286
3,5797833055.485375,5792006498.702839,5808573494.012856,5943385747.911647,48853.836165070425
4,5811466449.157979,5805871000.866524,5808573494.012856,5943385747.911647,46956.5589328445
5,5801261709.922586,5795675717.171347,5808573494.012856,5943385747.911647,58156.78776246524
6,5812915751.927376,5805825333.312967,5808573494.012856,5943385747.911647,43420.5722493072
7,5808990491.624727,5803007018.451891,5808573494.012856,5943385747.911647,50883.95048389305
8,5813590790.2700405,5807748921.901798,5808573494.012856,5943385747.911647,35940.30677784735
9,5805721924.585599,5799772043.069858,5808573494.012856,5943385747.911647,43381.03153046724
10,5810011197.997794,5804511377.543912,5808573494.012856,5943385747.911647,35960.95804458875
11,5806627352.134737,5800533645.112605,5808573494.012856,5943385747.911647,39877.101050970836
12,5815169392.330957,5809465403.091638,5809465403.091638,5943385747.911647,38787.91254728333
13,5815720053.60067,5809770327.771267,5809770327.771267,5943385747.911647,37152.58368115457
14,5812297524.1674185,5806508721.564774,5809770327.771267,5943385747.911647,36063.56634157773
15,5808931489.725292,5803135167.746416,5809770327.771267,5943385747.911647,34666.54390939162
16,5810082870.773798,5803362867.147154,5809770327.771267,5943385747.911647,35889.324008007796
17,5809177322.455518,5802739964.7537775,5809770327.771267,5943385747.911647,29711.47651485191
18,5811504859.486461,5805208371.647635,5809770327.771267,5943385747.911647,38622.12646261421
19,5811987473.206046,5805971380.263865,5809770327.771267,5943385747.911647,41283.9942307822
20,5815547086.632694,5809716892.291889,5809770327.771267,5943385747.911647,44749.61643448178
21,5817091691.819875,5810634862.507927,5810634862.507927,5943385747.911647,38805.879554609
22,5815197015.295303,5809156758.813326,5810634862.507927,5943385747.911647,31761.260170545567
23,5816102641.764497,5809822594.236369,5810634862.507927,5943385747.911647,22707.142477965674
24,5816892003.8596325,5810475064.410923,5810634862.507927,5943385747.911647,31774.564904246035
25,5810636796.742669,5804255489.263312,5810634862.507927,5943385747.911647,31760.303613492953
26,5810439853.246792,5804167627.922702,5810634862.507927,5943385747.911647,31749.194294711062
27,5810601249.164558,5803903281.134377,5810634862.507927,5943385747.911647,31748.866020448797
28,5816358488.890097,5810347558.250736,5810634862.507927,5943385747.911647,31811.172168721387
29,5823375619.752056,5816727081.670329,5816727081.670329,5943385747.911647,3723.1021329141513
30,5822354256.674441,5809347671.23669,5816727081.670329,5943385747.911647,
